direction,fold,component,variance_fraction,cumulative_variance_fraction
FORWARD,1,1,0.5115831379642896,0.5115831379642896
FORWARD,1,2,0.10629507065708912,0.6178782086213787
FORWARD,1,3,0.05626397652778273,0.6741421851491614
FORWARD,1,4,0.04343283305108828,0.7175750182002497
FORWARD,1,5,0.037774408906911326,0.755349427107161
FORWARD,1,6,0.027576650531501185,0.7829260776386622
FORWARD,1,7,0.025147703598890472,0.8080737812375527
FORWARD,1,8,0.02276840250928736,0.83084218374684
FORWARD,1,9,0.017398213488339444,0.8482403972351795
FORWARD,1,10,0.01575828646630801,0.8639986837014875
FORWARD,1,11,0.013824876246971254,0.8778235599484586
FORWARD,1,12,0.012797234486278048,0.8906207944347367
FORWARD,1,13,0.009939883666854709,0.9005606781015915
REVERSE,1,1,0.5602118865104101,0.5602118865104101
REVERSE,1,2,0.07220791139744302,0.6324197979078531
REVERSE,1,3,0.04946172256605691,0.68188152047391
REVERSE,1,4,0.0413352407348829,0.723216761208793
REVERSE,1,5,0.0362874204451181,0.7595041816539111
REVERSE,1,6,0.025559908123028104,0.7850640897769392
REVERSE,1,7,0.02207653401215431,0.8071406237890935
REVERSE,1,8,0.01882497942103522,0.8259656032101288
REVERSE,1,9,0.017369199876412913,0.8433348030865416
REVERSE,1,10,0.015601890111381975,0.8589366931979237
REVERSE,1,11,0.013494214802434668,0.8724309080003584
REVERSE,1,12,0.012304594235924664,0.8847355022362831
REVERSE,1,13,0.00982899587626175,0.8945644981125447
FORWARD,2,1,0.5205882299091075,0.5205882299091075
FORWARD,2,2,0.10313567411556902,0.6237239040246765
FORWARD,2,3,0.048419415085249044,0.6721433191099255
FORWARD,2,4,0.04097595111871272,0.7131192702286383
FORWARD,2,5,0.036578096010085916,0.7496973662387243
FORWARD,2,6,0.029080546979003367,0.7787779132177276
FORWARD,2,7,0.02597106788923984,0.8047489811069675
FORWARD,2,8,0.021971936878020744,0.8267209179849881
FORWARD,2,9,0.018103247595988862,0.8448241655809771
FORWARD,2,10,0.017494822600226896,0.862318988181204
FORWARD,2,11,0.014369804241529963,0.8766887924227339
FORWARD,2,12,0.01192023710279266,0.8886090295255266
FORWARD,2,13,0.010936113059190991,0.8995451425847175
REVERSE,2,1,0.5775637533735661,0.5775637533735661
REVERSE,2,2,0.0639637909054541,0.6415275442790203
REVERSE,2,3,0.05063422176757354,0.6921617660465937
REVERSE,2,4,0.03983275273908705,0.7319945187856808
REVERSE,2,5,0.03490939432882025,0.766903913114501
REVERSE,2,6,0.027360315631468873,0.7942642287459698
REVERSE,2,7,0.023183664889634754,0.8174478936356047
REVERSE,2,8,0.016598297001962765,0.8340461906375675
REVERSE,2,9,0.015047039024679031,0.8490932296622464
REVERSE,2,10,0.013967426042574421,0.8630606557048209
REVERSE,2,11,0.013670846331112558,0.8767315020359335
REVERSE,2,12,0.011594363747576468,0.88832586578351
REVERSE,2,13,0.009682162942851055,0.8980080287263611
FORWARD,3,1,0.5146667889861378,0.5146667889861378
FORWARD,3,2,0.10250084559094129,0.6171676345770792
FORWARD,3,3,0.055563472070165605,0.6727311066472448
FORWARD,3,4,0.04041310341634125,0.7131442100635861
FORWARD,3,5,0.033837378599873125,0.7469815886634591
FORWARD,3,6,0.027415420379354814,0.7743970090428139
FORWARD,3,7,0.02418301024873605,0.79858001929155
FORWARD,3,8,0.020598778646429235,0.8191787979379792
FORWARD,3,9,0.01962554440541826,0.8388043423433974
FORWARD,3,10,0.01726043679678108,0.8560647791401785
FORWARD,3,11,0.016639082832381545,0.8727038619725601
FORWARD,3,12,0.01340249170066419,0.8861063536732242
FORWARD,3,13,0.009498459626707045,0.8956048132999314
REVERSE,3,1,0.5716158122081331,0.5716158122081331
REVERSE,3,2,0.07272721220638009,0.6443430244145132
REVERSE,3,3,0.05179636442732853,0.6961393888418417
REVERSE,3,4,0.04054828361041791,0.7366876724522596
REVERSE,3,5,0.036819568907811705,0.7735072413600712
REVERSE,3,6,0.02654581589017265,0.8000530572502438
REVERSE,3,7,0.020626850020897373,0.8206799072711412
REVERSE,3,8,0.016928897845487668,0.8376088051166289
REVERSE,3,9,0.015433774707353983,0.8530425798239829
REVERSE,3,10,0.014876282064393708,0.8679188618883765
REVERSE,3,11,0.012406452717345652,0.8803253146057222
REVERSE,3,12,0.011126246062747532,0.8914515606684696
REVERSE,3,13,0.010251588641187389,0.9017031493096571
FORWARD,4,1,0.5313303128544141,0.5313303128544141
FORWARD,4,2,0.09296283424174073,0.6242931470961548
FORWARD,4,3,0.05214455396344286,0.6764377010595977
FORWARD,4,4,0.04280779260486778,0.7192454936644654
FORWARD,4,5,0.03471593793525872,0.7539614315997242
FORWARD,4,6,0.028196950315209586,0.7821583819149337
FORWARD,4,7,0.026291419033706888,0.8084498009486407
FORWARD,4,8,0.020855106331096007,0.8293049072797367
FORWARD,4,9,0.019381836509036077,0.8486867437887728
FORWARD,4,10,0.017088778503705285,0.8657755222924781
FORWARD,4,11,0.014898269623206476,0.8806737919156846
FORWARD,4,12,0.011256910053460767,0.8919307019691454
FORWARD,4,13,0.010532324667488229,0.9024630266366336
REVERSE,4,1,0.557772577774255,0.557772577774255
REVERSE,4,2,0.06772019092548606,0.6254927686997411
REVERSE,4,3,0.05181663498376227,0.6773094036835035
REVERSE,4,4,0.0451848859618726,0.7224942896453761
REVERSE,4,5,0.035501406971460245,0.7579956966168363
