scope,observed_r2,null_mean_r2,null_median_r2,null_95_low,null_95_high,null_p_value,replicates
FORWARD,-0.0049764953154465275,0.0005449674431832318,0.0005995769815093643,-0.003643246936971123,0.0044764538648484,0.9955,1999
REVERSE,-0.0001221172692338346,-0.0004985580099375388,-0.0004938185754335134,-0.0022539002840937018,0.00132090586047095,0.3465,1999
POOLED,-0.0028619480409137754,9.041201264285944e-05,0.0001100661315396323,-0.002324926058552412,0.002363943658905232,0.9885,1999
