rank,median_delta,forward_median,reverse_median
1,0.41363947001983536,0.40389865373144762,0.40405666314585298
2,0.3446879630843529,0.37927110448269186,0.33021591693870722
3,0.31878760552207053,0.36873189087941827,0.31630467527405687
5,0.19626205888915321,0.18947873229833434,0.18412265188758681
8,0.11562964108673354,0.12939900597898552,0.13163476936262411
13,0.060370766121475752,0.085776121345704143,0.06947085132232006
21,0.061516246073050299,0.047831293580980899,0.055687039747796853
34,0.029300892361879549,0.028874267039879498,0.0370837028684292
