stage,representation,subject,session,direction,train_session,test_session,train_runs,test_runs,train_n,test_n,train_subjects,test_subjects,train_uid_sha256,test_uid_sha256,scaler_fit_uid_sha256,scaler_mean_sha256,scaler_scale_sha256,balanced_accuracy,accuracy,macro_f1,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,confusion_matrix_json,prediction_sha256,status,convergence_warning,warning_messages,subject_statistic,group_statistic,chance
W,PATH_D10,1,0train,A_TO_B,"[""0train""]","[""0train""]","[0,1,2]","[3,4,5]",144,144,[1],[1],240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,87180940b517a6d16d7a1ed9621e88ec7589d141b7dcf88bea3861f265cbf676,f9e2886c4504cf4ab29890528b01a44bc48a9b7a8a7205112f035fa50f907577,0.3333333333333333,0.3333333333333333,0.3277071187518949,0.19444444444444445,0.4444444444444444,0.2777777777777778,0.4166666666666667,"[[7,14,6,9],[12,16,3,5],[7,6,10,13],[4,5,12,15]]",0232ec801391355176299c7f3bca7b994828b6c465af4ac2ecfaae445a62595d,PASS,False,[],0.3472222222222222,0.3072916666666667,0.25
W,PATH_D10,1,0train,B_TO_A,"[""0train""]","[""0train""]","[3,4,5]","[0,1,2]",144,144,[1],[1],5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,becf9ed5f6d4d876907fbed599eeeaf641d13eaf6498eb77f91fe2bb1cf88741,61f5161df5e5d1d3dbe243b299c9b4f87e79f17be6f32ac767c53f116f17dd18,0.3680555555555556,0.3680555555555556,0.3726986759325068,0.3055555555555556,0.3611111111111111,0.3888888888888889,0.4166666666666667,"[[11,13,8,4],[15,13,4,4],[10,4,14,8],[9,4,8,15]]",b9936659f9c701c714efc9235bb1d0bd1e75e2b78eb4d1db40cfbd4ba9bba19e,PASS,False,[],0.3472222222222222,0.3072916666666667,0.25
W,PATH_D10,1,1test,A_TO_B,"[""1test""]","[""1test""]","[0,1,2]","[3,4,5]",144,144,[1],[1],3f8da6cff1d9ea89cb2c561e28c945b0a8a4fe028b087c6fa8cdb3351dde2168,27dd87f3c35f2eb5e2d7241e36d661d662c0f5894569f63250395e17961fc2e5,3f8da6cff1d9ea89cb2c561e28c945b0a8a4fe028b087c6fa8cdb3351dde2168,b49daf5e98068ca389e10bb4acf530878e915ad543f08595d28fdca29e619ac7,5b3789d9da14bc3ec0b03ebfcad56ae027623400648b5bf121bd38cbbea77b5e,0.375,0.375,0.3660559741853177,0.5833333333333334,0.3888888888888889,0.25,0.2777777777777778,"[[21,12,1,2],[14,14,3,5],[12,11,9,4],[8,9,9,10]]",45a95969dcd3abea791b19565c93bc83bb5d76566472723112f66535675f71b3,PASS,False,[],0.3472222222222222,0.3072916666666667,0.25
W,PATH_D10,1,1test,B_TO_A,"[""1test""]","[""1test""]","[3,4,5]","[0,1,2]",144,144,[1],[1],27dd87f3c35f2eb5e2d7241e36d661d662c0f5894569f63250395e17961fc2e5,3f8da6cff1d9ea89cb2c561e28c945b0a8a4fe028b087c6fa8cdb3351dde2168,27dd87f3c35f2eb5e2d7241e36d661d662c0f5894569f63250395e17961fc2e5,8f8af5fc9ca719f082184cf3b5323ad3265db71d65e55d84958c23625358a881,5d4bbdafac9f871938d9edb4abbe07dc13d861c3b4356c2959a1c64ffcce3d25,0.3125,0.3125,0.30911749706827224,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.4166666666666667,"[[8,8,10,10],[6,10,7,13],[2,6,12,16],[6,7,8,15]]",a6660aa09852291a953e67424248eaae6f1862e6ac1c354516f531d5b6d992d9,PASS,False,[],0.3472222222222222,0.3072916666666667,0.25
W,PATH_D10,2,0train,A_TO_B,"[""0train""]","[""0train""]","[0,1,2]","[3,4,5]",144,144,[2],[2],5cce8de614ae7f4019203826bf2147159cf46592530d7520e614e6837cbced31,8236cbe7c222e7eac46f769c94cc2532f41f2f5230976477b6c5a7786441d821,5cce8de614ae7f4019203826bf2147159cf46592530d7520e614e6837cbced31,fcdeef68382bdfd03ac96a407eb21786fcc9de36eee3f508767418ef9984853f,9e66ba4c1fe784d89ef959b5deec2b0ade9a592b6949802776adb6588b41a156,0.2916666666666667,0.2916666666666667,0.28374476066830046,0.3055555555555556,0.19444444444444445,0.4722222222222222,0.19444444444444445,"[[11,11,9,5],[11,7,10,8],[8,3,17,8],[10,9,10,7]]",8ff7d5a107e88774ec29b784d311de6903232a0ebdd6ee2273fc0f3dba8daa76,PASS,False,[],0.2899305555555556,0.3072916666666667,0.25
W,PATH_D10,2,0train,B_TO_A,"[""0train""]","[""0train""]","[3,4,5]","[0,1,2]",144,144,[2],[2],8236cbe7c222e7eac46f769c94cc2532f41f2f5230976477b6c5a7786441d821,5cce8de614ae7f4019203826bf2147159cf46592530d7520e614e6837cbced31,8236cbe7c222e7eac46f769c94cc2532f41f2f5230976477b6c5a7786441d821,0c012167ef9f0d4f12ec6238abbd4991096773fd5724f675248957f77bb8b328,2a49c37377fe042ce695eea01264e2c4cb083c743bc38d3b66e8e131e247b72e,0.29166666666666663,0.2916666666666667,0.2753780601940791,0.5555555555555556,0.19444444444444445,0.19444444444444445,0.2222222222222222,"[[20,7,6,3],[17,7,3,9],[17,1,7,11],[11,9,8,8]]",70a9ffd94d16e3c62842a9ee89b592f0018478d9dfd547231483b12b87591df3,PASS,False,[],0.2899305555555556,0.3072916666666667,0.25
W,PATH_D10,2,1test,A_TO_B,"[""1test""]","[""1test""]","[0,1,2]","[3,4,5]",144,144,[2],[2],32946d7d1e61668b1bbee10b4b596aebbda3b8bc44d72937915078af22ae1e76,08a25ed6120b2647da86f3a4c000f5d654fbb167637d19b9cfc779920a310c6c,32946d7d1e61668b1bbee10b4b596aebbda3b8bc44d72937915078af22ae1e76,62d7eb0bd84efdd14fe5dcce3e2ff8ece798b274114b738d3929c0a3599c7e78,7ecf0ca3d29c4c1c97a93cdbc90fdac3380715efdfedc275f096d54b9c4f1e3c,0.2916666666666667,0.2916666666666667,0.2829321944197007,0.16666666666666666,0.2222222222222222,0.3611111111111111,0.4166666666666667,"[[6,8,8,14],[4,8,11,13],[4,8,13,11],[5,7,9,15]]",5a07b540d1d01c1eb92a0e0c21ba2489e4eb4c319511773a5abdad89ce872d3f,PASS,False,[],0.2899305555555556,0.3072916666666667,0.25
W,PATH_D10,2,1test,B_TO_A,"[""1test""]","[""1test""]","[3,4,5]","[0,1,2]",144,144,[2],[2],08a25ed6120b2647da86f3a4c000f5d654fbb167637d19b9cfc779920a310c6c,32946d7d1e61668b1bbee10b4b596aebbda3b8bc44d72937915078af22ae1e76,08a25ed6120b2647da86f3a4c000f5d654fbb167637d19b9cfc779920a310c6c,a66e43a648d27eb990a1dffe8b79dc89186041a399f12501e7aae59deb010152,9a5533a554241ec9ae52f1b453b21ca7906b64b8e54efdfe04017006cfa2fbd1,0.2847222222222222,0.2847222222222222,0.28326577097301786,0.3055555555555556,0.19444444444444445,0.3888888888888889,0.25,"[[11,7,10,8],[14,7,9,6],[11,7,14,4],[11,10,6,9]]",24859cc1db899f4bf074df62baeade9c9586fd223479181a40f0a59e5f5bc064,PASS,False,[],0.2899305555555556,0.3072916666666667,0.25
W,PATH_D10,3,0train,A_TO_B,"[""0train""]","[""0train""]","[0,1,2]","[3,4,5]",144,144,[3],[3],5f8a576c38e1076dabd2e90a0106b5a04327340108aa1f95ea098e5bc186330b,b45a989cb0e86485d454e55a68279249692e84564d1d448c2298b8e04155f6e5,5f8a576c38e1076dabd2e90a0106b5a04327340108aa1f95ea098e5bc186330b,9aff727bf5f123575f32d5c47777783b4e442329574155621752902236a6263a,d77ba9761fbf72fd244f405bd7ccded2a92cd865ed2c6d7574ee0a1c3fe5028f,0.3125,0.3125,0.31389714737317476,0.25,0.2777777777777778,0.25,0.4722222222222222,"[[9,9,10,8],[12,10,8,6],[14,7,9,6],[9,3,7,17]]",b041dd659c4ccb7e15d2e309800703423b745bdebfdf7cd6e5dda5a02889609f,PASS,False,[],0.3072916666666667,0.3072916666666667,0.25
W,PATH_D10,3,0train,B_TO_A,"[""0train""]","[""0train""]","[3,4,5]","[0,1,2]",144,144,[3],[3],b45a989cb0e86485d454e55a68279249692e84564d1d448c2298b8e04155f6e5,5f8a576c38e1076dabd2e90a0106b5a04327340108aa1f95ea098e5bc186330b,b45a989cb0e86485d454e55a68279249692e84564d1d448c2298b8e04155f6e5,50de567dbc7cb2fa90bf71c98e538ccd3d784f91a6f18dd505e8cd7af1abf76f,2e120c241177376b7a8cd849359038a1524224d126121dd5ae751c2c95f883c3,0.33333333333333337,0.3333333333333333,0.3308488612836439,0.3055555555555556,0.3055555555555556,0.2777777777777778,0.4444444444444444,"[[11,6,7,12],[9,11,9,7],[7,10,10,9],[6,6,8,16]]",b36f178f6647eac0ad4ce09e0c462e3cc37842ca566426f9028e15e994eca82d,PASS,False,[],0.3072916666666667,0.3072916666666667,0.25
