stage,representation,subject,session,direction,train_session,test_session,train_runs,test_runs,train_n,test_n,train_subjects,test_subjects,train_uid_sha256,test_uid_sha256,scaler_fit_uid_sha256,scaler_mean_sha256,scaler_scale_sha256,balanced_accuracy,accuracy,macro_f1,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,confusion_matrix_json,prediction_sha256,status,convergence_warning,warning_messages,subject_statistic,group_statistic,chance
X,PATH_D10,1,cross_session,0train_TO_1test,"[""0train""]","[""1test""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[1],[1],c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,6e8dfd1b770f5a3ddc476ea4e0fb95a6c050d2eea26e7032a2a730e16bb5784e,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,ebdb5360e4d5bc5a71492d7606c1dc5997163b65b7abbc591d68b35b5ba15427,b58a1ea8b666bbec565729bb97d29fb43b95ecf3b24adf5303de4e80b83f6fb4,0.3298611111111111,0.3298611111111111,0.3251665871738709,0.2361111111111111,0.4861111111111111,0.2916666666666667,0.3055555555555556,"[[17,38,8,9],[17,35,11,9],[17,13,21,21],[16,15,19,22]]",348c942ada534233b3619a154f0bdf2cd356bd73a0711be101f6738ee5eeff58,PASS,False,[],0.34201388888888884,0.2881944444444444,0.25
X,PATH_D10,1,cross_session,1test_TO_0train,"[""1test""]","[""0train""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[1],[1],6e8dfd1b770f5a3ddc476ea4e0fb95a6c050d2eea26e7032a2a730e16bb5784e,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,6e8dfd1b770f5a3ddc476ea4e0fb95a6c050d2eea26e7032a2a730e16bb5784e,b17ae5cc35d26550781405b12979740ee6dcfa90cd63dc6e747bcc2491e225a3,025556db4f8bb034eea168f9617ae92760957a3304e2520abff2fbf9f736d45f,0.35416666666666663,0.3541666666666667,0.3534982718567624,0.3888888888888889,0.2916666666666667,0.3333333333333333,0.4027777777777778,"[[28,13,12,19],[30,21,8,13],[11,11,24,26],[3,8,32,29]]",43a1f0907c7bd511337f6fa53d34b957778a5ab5888288c8d2d3ac5dcf33c649,PASS,False,[],0.34201388888888884,0.2881944444444444,0.25
X,PATH_D10,2,cross_session,0train_TO_1test,"[""0train""]","[""1test""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[2],[2],c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,6c58f95e9aee14fcd538d9a5e6d21b04c0c4346923202b5e055fea92107c3f89,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,bd14ae46caaaef2e1c0e0389d3c47eae6f1e5f9278d728625bdbf1311b860477,2b2e09df036cf3ddd74f45250c7282c5581c13d58ea2f7aa0315d69941bd54c3,0.2881944444444445,0.2881944444444444,0.23047803338060785,0.8055555555555556,0.1111111111111111,0.1388888888888889,0.09722222222222222,"[[58,5,6,3],[55,8,5,4],[43,15,10,4],[55,5,5,7]]",52266022db1d9c4f8d2ce70578d35aaf6f4180199943ef8d5d678f20003dee83,PASS,False,[],0.2881944444444444,0.2881944444444444,0.25
X,PATH_D10,2,cross_session,1test_TO_0train,"[""1test""]","[""0train""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[2],[2],6c58f95e9aee14fcd538d9a5e6d21b04c0c4346923202b5e055fea92107c3f89,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,6c58f95e9aee14fcd538d9a5e6d21b04c0c4346923202b5e055fea92107c3f89,4c6e6cea8b9d5686d763cb95744eabde74e7937ebede9284215e4fac4a82363c,9c4f471edf89b590fec962eeebcd7f2866f27d785c7b9011228318a4fcd0c674,0.2881944444444444,0.2881944444444444,0.26981415147161003,0.09722222222222222,0.375,0.4444444444444444,0.2361111111111111,"[[7,30,22,13],[8,27,26,11],[0,23,32,17],[3,23,29,17]]",290fd6c3068e6d896c3238e88f1891614c487f366b2fa8d41c5810e436a079aa,PASS,False,[],0.2881944444444444,0.2881944444444444,0.25
X,PATH_D10,3,cross_session,0train_TO_1test,"[""0train""]","[""1test""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[3],[3],188ed5f1537cc3b8bc713e78ce8b0775d4692f35f56c8b0b4fad5ac6a6138fc0,d1a3429a1e03ac5b16470e31ed018de72d3d80d1dbf92efe4eed88349cde9518,188ed5f1537cc3b8bc713e78ce8b0775d4692f35f56c8b0b4fad5ac6a6138fc0,cbca11b03bcefc487e23dbd231bd9f8e00790c19ccb4a1a8a9ba31f924c3ec37,76ce332eae2acb7011d6a0e21a8bfe5205525285aaf69e3952136944fefff794,0.2638888888888889,0.2638888888888889,0.2567682687425199,0.2222222222222222,0.2777777777777778,0.125,0.4305555555555556,"[[16,28,12,16],[24,20,14,14],[10,27,9,26],[5,29,7,31]]",eb0a13313c035469b850e242bc2e5c67ace928255300e7e8a4c096b654873361,PASS,False,[],0.265625,0.2881944444444444,0.25
X,PATH_D10,3,cross_session,1test_TO_0train,"[""1test""]","[""0train""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[3],[3],d1a3429a1e03ac5b16470e31ed018de72d3d80d1dbf92efe4eed88349cde9518,188ed5f1537cc3b8bc713e78ce8b0775d4692f35f56c8b0b4fad5ac6a6138fc0,d1a3429a1e03ac5b16470e31ed018de72d3d80d1dbf92efe4eed88349cde9518,4369689e8fb78fbc7b2e7fb684dd60c36d8bffbb4190ecd606e4a05f6acc918e,a9e9ebb036696f098c3ec1687b6b28b271c356a6d4669f91b983b61d24505293,0.2673611111111111,0.2673611111111111,0.2653193470790027,0.16666666666666666,0.4305555555555556,0.20833333333333334,0.2638888888888889,"[[12,43,14,3],[21,31,8,12],[12,39,15,6],[10,28,15,19]]",aa83e655e73e304b7af28dcf228978ad48dffd61d19a000c1e2ab3e665f79447,PASS,False,[],0.265625,0.2881944444444444,0.25
X,PATH_D10,4,cross_session,0train_TO_1test,"[""0train""]","[""1test""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[4],[4],f1b9aead87aa6c80d34630976198f58cc608174560d755a9a206a4de5356e9a1,e923e1eb5f3c03b47a0cd39a5d0726b061b18d91d732f160f172e2df98622c3f,f1b9aead87aa6c80d34630976198f58cc608174560d755a9a206a4de5356e9a1,d85427d38e605aa20a6f60e566c8e1aa8e1235d54be47d16f71c47c8ab9622eb,34e2f1955c33601e8e753c1d81353d40e41b45f51226a675e013cc0fd31c5dea,0.2916666666666667,0.2916666666666667,0.2931044811456121,0.3055555555555556,0.2361111111111111,0.2916666666666667,0.3333333333333333,"[[22,14,25,11],[22,17,22,11],[17,19,21,15],[19,9,20,24]]",74e0d0656aa6a8303b8266f24ca8b46fb9e6661b4d7f83fce7db1bd4c5872f15,PASS,False,[],0.2881944444444444,0.2881944444444444,0.25
X,PATH_D10,4,cross_session,1test_TO_0train,"[""1test""]","[""0train""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[4],[4],e923e1eb5f3c03b47a0cd39a5d0726b061b18d91d732f160f172e2df98622c3f,f1b9aead87aa6c80d34630976198f58cc608174560d755a9a206a4de5356e9a1,e923e1eb5f3c03b47a0cd39a5d0726b061b18d91d732f160f172e2df98622c3f,848723f3c9d4af9d57304172c39c232ef4983d27e2e4021ab6785709c20ad630,356f8706bbab52f87702f5ca50b52b876958bf2e8652059fd8dd4607163a433b,0.2847222222222222,0.2847222222222222,0.2805862786633149,0.25,0.2361111111111111,0.2361111111111111,0.4166666666666667,"[[18,19,16,19],[18,17,16,21],[19,12,17,24],[12,14,16,30]]",7d13301b3532e6a33681a5ae6cc76fd7de326671a34d338ebe30442e2db7cc5e,PASS,False,[],0.2881944444444444,0.2881944444444444,0.25
X,PATH_D10,5,cross_session,0train_TO_1test,"[""0train""]","[""1test""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[5],[5],afbd4147e32708cb86ffd1c83a1ad7854e7dc2e716792465de81bfbd14d91be7,b53b74cd471fd3212c5d7b3d4348b288cdbd3a0b9cbdd55ffbd167abe4924e6b,afbd4147e32708cb86ffd1c83a1ad7854e7dc2e716792465de81bfbd14d91be7,c6bb0f0e2ff52460a17cbae9d6f7eff28faefc928f76460fbb08a19b5e10143f,ec8edfa8a8b764a4aab6a41414b4c7f04c8a7ef329f28795d3c17ce1bbd2aa06,0.2534722222222222,0.2534722222222222,0.2466844059015459,0.2777777777777778,0.1527777777777778,0.4027777777777778,0.18055555555555555,"[[20,19,24,9],[26,11,26,9],[18,18,29,7],[25,12,22,13]]",92ae0c78f295f7ab810965b9e4b0e49341b126bb77a4e2969241996c7d55fdda,PASS,False,[],0.2534722222222222,0.2881944444444444,0.25
X,PATH_D10,5,cross_session,1test_TO_0train,"[""1test""]","[""0train""]","[0,1,2,3,4,5]","[0,1,2,3,4,5]",288,288,[5],[5],b53b74cd471fd3212c5d7b3d4348b288cdbd3a0b9cbdd55ffbd167abe4924e6b,afbd4147e32708cb86ffd1c83a1ad7854e7dc2e716792465de81bfbd14d91be7,b53b74cd471fd3212c5d7b3d4348b288cdbd3a0b9cbdd55ffbd167abe4924e6b,911d4257c8f86b3696a8b5d1691c5a51476aa08dde37f12f29b73e3b08afc460,69f28577bc6ea3f714c4a528b41729bad1274c48ac05e81b160c51a74c4feff8,0.2534722222222222,0.2534722222222222,0.24742624417138334,0.16666666666666666,0.19444444444444445,0.2638888888888889,0.3888888888888889,"[[12,17,18,25],[17,14,19,22],[14,14,19,25],[15,5,24,28]]",543bb22ed271ce7e6e85a2e4c7d6a20026b3e2ee9699618eaaf0f09bce97c2e4,PASS,False,[],0.2534722222222222,0.2881944444444444,0.25
