check,maximum_absolute_difference,tolerance,passed
frozen_v0_geometry_gate,0.0,0.0,True
recomputed_session0_all_geometry_gates,0.0,0.0,True
session0_trial_metadata_exact,0.0,0.0,True
airm_path_d10_machine_precision,0.0,1e-12,True
airm_bag_canon_d10_machine_precision,0.0,1e-12,True
airm_scalars_11_machine_precision,0.0,1e-12,True
session1_all_geometry_gates,0.0,0.0,True
