subject,pair,S_s,C_s,J_s
1,LR,0.20692318365034917,0.04307447881477437,0.03207943464871085
2,LR,1.2577248836012782,0.02182694389501623,-0.020045344094486106
3,LR,0.2798165141537577,0.03587185157578128,0.0430746187109462
4,LR,0.45013900038911764,0.02437961157462712,0.030496506499999965
5,LR,0.10885654631973825,0.006364050387924147,-0.0400968022845688
6,LR,0.09435475902175416,-0.028566770982670547,-0.10817622894134371
7,LR,0.17860470341368265,-0.05167536182632859,-0.04526238240584138
8,LR,0.2595293430576321,-0.01210790847119525,-0.06503441463067006
9,LR,0.44744496979379256,1.3699174834899217,1.2451282389143032
1,LF,0.19929793620434774,0.6313273066070793,0.185635722878564
2,LF,1.1669358189585588,0.0725808993548477,-0.1626227270803433
3,LF,0.24860982669552412,0.1868729328124266,0.04075073731634554
4,LF,0.31121781174449,-0.07791931783912212,-0.023279273316957783
5,LF,0.23958943774213476,0.10774438895473433,-0.005632037117383221
6,LF,0.19791409672346813,0.1867273056848393,-0.19566969799777956
7,LF,0.12905236479058257,0.021148415879650523,-0.05161132487966186
8,LF,0.2638670342916776,0.0806090958166131,-0.20998985298465922
9,LF,0.9149649370768261,1.1306591746897974,0.5710316946076028
1,LT,0.17015586789646286,0.9982329278993862,0.21421887590842031
2,LT,0.9384560585241453,-0.014489323566410708,-0.09417284241514112
3,LT,0.26232687510554786,0.7705762665639602,0.072732778104167
4,LT,0.3558475388117235,0.23259421726774548,-0.027887067183961223
5,LT,0.20314234509440326,0.13003506947628163,-0.22268671301465726
6,LT,0.12835040066641562,-0.060450627373852484,-0.31527642029961617
7,LT,0.16609547654507176,0.3485772799969967,-0.010309818049090702
8,LT,0.14216899387820175,0.9567288649442116,0.0619201754158244
9,LT,0.7114459887230573,6.528314831948084,4.949301756281019
1,RF,0.20113031923481028,0.6918244417457986,0.5310982090431524
2,RF,0.7727023058516662,0.12255115327523503,0.0784379420270806
3,RF,0.21804360561160124,0.21547962611225707,0.14056735693987932
4,RF,0.22866802697168165,-0.01291600354625283,0.027130406389625106
5,RF,0.1488676457026155,0.020362622735173447,0.010921330268693435
6,RF,0.17380419552868484,0.12540931328810268,0.056275415078290814
7,RF,0.13918535329929624,0.05100979797115113,0.006113407426608347
8,RF,0.3475407008711878,0.08262347873284787,-0.007440520315139143
9,RF,0.2568794912490918,0.12141572883048368,0.3064164441379478
1,RT,0.17198825092692538,1.0106414784115256,0.5968464098635651
2,RT,0.5442225454172526,-0.021729967567612613,-0.020913508751731313
3,RT,0.23176065402162493,0.8792306283565438,0.5368750406406191
4,RT,0.27329775403891515,0.26643547936639844,0.16121156307499557
5,RT,0.11242055305488399,0.04595851071380047,-0.06677468960230507
6,RT,0.10424049947163233,-0.017083114712319908,0.005195313914451466
7,RT,0.17622846505378542,0.23550805796439744,0.047755199511780755
8,RT,0.22584266045771198,0.6399109196841666,0.19099659098581917
9,RT,0.05336054289532299,0.5980373523130353,0.01197051844550523
1,FT,0.16436300348092395,-0.041724866666638105,-0.1060969069485716
2,FT,0.45343348077453316,0.022855673795241033,0.0749052456194711
3,FT,0.2005539665633914,0.16220420748159112,0.044240310688579476
4,FT,0.1343765653942875,0.03076867769627112,-0.08213239451455662
5,FT,0.2431534444772805,0.03770490787466935,0.011251458835327133
6,FT,0.2077998371733463,0.14635015821106,0.24077725731754474
7,FT,0.12667612643068535,0.10467393960856072,0.06989083905881258
8,FT,0.23018035169175755,0.29354459181935166,0.1686234300752109
9,FT,0.5208805101783566,1.7773145534955388,1.5073188825681552
