domain,profile,first,second,euclidean_distance,centered_correlation
G_subject_fixed_class,raw,S1,S2,1.7212913332372572,-0.12050634459449862
G_subject_fixed_class,raw,S1,S3,0.7085711630771514,0.8313502886751555
G_subject_fixed_class,raw,S1,S4,1.2582800005377706,0.5769649302026646
G_subject_fixed_class,raw,S1,S5,1.6218737531910334,0.911556097807804
G_subject_fixed_class,raw,S1,S6,1.4347136073695672,-0.1713773150216383
G_subject_fixed_class,raw,S1,S7,1.1821514637152204,0.6974276048476781
G_subject_fixed_class,raw,S1,S8,0.8501431111469131,0.6253812271786758
G_subject_fixed_class,raw,S1,S9,6.451085704258712,0.2759915488252901
G_subject_fixed_class,raw,S2,S3,1.2743383689690297,-0.5316735195677085
G_subject_fixed_class,raw,S2,S4,0.6083515429560284,-0.7611850306693975
G_subject_fixed_class,raw,S2,S5,0.18980673250835287,-0.46679717790461356
G_subject_fixed_class,raw,S2,S6,0.4547933754692272,0.42104203726386297
G_subject_fixed_class,raw,S2,S7,0.6527204842393493,-0.40423392739618913
G_subject_fixed_class,raw,S2,S8,1.5549766254652002,-0.7292321704498388
G_subject_fixed_class,raw,S2,S9,7.589923328761006,-0.6169032939300515
G_subject_fixed_class,raw,S3,S4,0.7639752830616883,0.7432686982676199
G_subject_fixed_class,raw,S3,S5,1.1416411623198268,0.8492539488578459
G_subject_fixed_class,raw,S3,S6,0.9987644777165938,-0.23818248232231787
G_subject_fixed_class,raw,S3,S7,0.6741991936259993,0.8689033776577629
G_subject_fixed_class,raw,S3,S8,0.5228791698801298,0.8565592254728519
G_subject_fixed_class,raw,S3,S9,6.682045766534401,0.3917522851481096
G_subject_fixed_class,raw,S4,S5,0.4747114250619933,0.8243863949513889
G_subject_fixed_class,raw,S4,S6,0.4362551301017561,-0.7609053444370167
G_subject_fixed_class,raw,S4,S7,0.2893132446637458,0.49833684915212006
G_subject_fixed_class,raw,S4,S8,1.0043749805996196,0.785527843193107
G_subject_fixed_class,raw,S4,S9,7.073105797055993,0.6328770272940288
G_subject_fixed_class,raw,S5,S6,0.43545985766950657,-0.39840346681328553
G_subject_fixed_class,raw,S5,S7,0.5447739920011143,0.6679411388239251
G_subject_fixed_class,raw,S5,S8,1.4148232341169207,0.7853658500055292
G_subject_fixed_class,raw,S5,S9,7.466788980522448,0.5340999922314712
G_subject_fixed_class,raw,S6,S7,0.3745315481170554,0.058117215491251165
G_subject_fixed_class,raw,S6,S8,1.2421154106288943,-0.2655166210955544
G_subject_fixed_class,raw,S6,S9,7.287068707133847,-0.35045848906565974
G_subject_fixed_class,raw,S7,S8,0.9206921979868131,0.8880285762845078
G_subject_fixed_class,raw,S7,S9,7.036423034991925,0.5557057728655611
G_subject_fixed_class,raw,S8,S9,6.204946216944368,0.7926383082169496
G_subject_fixed_class,baseline_adjusted,S1,S2,1.6529636685713602,-0.15087118015755646
G_subject_fixed_class,baseline_adjusted,S1,S3,0.7315595572821212,0.8232041258767389
G_subject_fixed_class,baseline_adjusted,S1,S4,1.4646978820858008,0.5824443509290561
G_subject_fixed_class,baseline_adjusted,S1,S5,1.5546824563948487,0.5607244951089982
G_subject_fixed_class,baseline_adjusted,S1,S6,1.6540945111264498,-0.31397535086478945
G_subject_fixed_class,baseline_adjusted,S1,S7,1.3550852775715776,0.6901837391103288
G_subject_fixed_class,baseline_adjusted,S1,S8,0.9638624388927671,0.6440325613132332
G_subject_fixed_class,baseline_adjusted,S1,S9,6.032923272823247,0.28141167767021485
G_subject_fixed_class,baseline_adjusted,S2,S3,1.2121763978327351,-0.6372989886812302
G_subject_fixed_class,baseline_adjusted,S2,S4,0.43030268260094834,-0.8077368041958686
