subject,pair,anchor_class,a,b,c,d,S_sc,C_sc,J_sc
1,LR,left_hand,0.21234053268760822,0.19923665121803685,0.4174313333074949,0.44330122292769253,0.20509080061988666,-0.013103881469571366,-0.038973771089769016
1,LR,right_hand,0.21626828546240903,0.31552112456152914,0.42502385214322075,0.42114405085515005,0.20875556668081172,0.09925283909912011,0.10313264038719072
2,LR,left_hand,0.19881457831293944,0.29885279454552716,1.8507729750211104,1.0634819931906723,1.651958396708171,0.10003821623258771,0.8873291980630258
2,LR,right_hand,0.25342516964575157,0.19704084120319632,1.116916540140137,1.98795209794958,0.8634913704943855,-0.056384328442555254,-0.927419886251998
3,LR,left_hand,0.20756697686586842,0.2380146257825085,0.517949712103549,0.4177652865663727,0.31038273523768056,0.03044764891664009,0.13063207445381642
3,LR,right_hand,0.24831873117406286,0.28961478540898533,0.49756902424389765,0.583347915510744,0.2492502930698348,0.04129605423492247,-0.044482837031924016
4,LR,left_hand,0.5450316145448901,0.3423246497765939,1.077720399706816,0.6445962624976047,0.532688785161926,-0.20270696476829625,0.2304171724409152
4,LR,right_hand,0.3661732073018663,0.6176393952194168,0.7337624229181756,1.1546527702766414,0.3675892156163093,0.2514661879175505,-0.16942415944091527
5,LR,left_hand,0.1822898907703512,0.3475806534334794,0.3818682291296087,0.390526395725727,0.1995783383592575,0.16529076266312817,0.15663259606700985
5,LR,right_hand,0.3191259587396799,0.16656329685240004,0.3372607130198989,0.42152425176876646,0.01813475428021899,-0.15256266188727988,-0.23682620063614745
6,LR,left_hand,0.35539222704097606,0.3705003207096202,0.4738568872575135,0.4727072112030102,0.11846466021653745,0.01510809366864413,0.01625776972314752
6,LR,right_hand,0.3406970636060349,0.2684554279720497,0.4109419214330058,0.5713105134048555,0.07024485782697087,-0.07224163563398522,-0.23261022760583494
7,LR,left_hand,0.2933591035216309,0.2601257093313792,0.4618308184265999,0.41484986660798906,0.16847171490496898,-0.03323339419025173,0.013747557628359164
7,LR,right_hand,0.34720896241163435,0.2770916329492289,0.5359466543340307,0.5701016473116671,0.1887376919223963,-0.07011732946240545,-0.10427232244004192
8,LR,left_hand,0.5216673373454997,0.4141655695712887,0.6975230138236216,0.8590220574331479,0.17585567647812184,-0.10750176777421105,-0.26900081138373744
8,LR,right_hand,0.29885618679337506,0.3821421376251956,0.6420591964305173,0.5864131651399407,0.3432030096371423,0.08328595083182055,0.13893198212239732
9,LR,left_hand,0.6527890588649328,2.7243479624483227,1.7583194744864596,2.0859075905045135,1.1055304156215269,2.07155890358339,1.7439707875653365
9,LR,right_hand,0.7781925407358559,1.4464686041323094,0.5675520647019141,0.48954243783509743,-0.21064047603394176,0.6682760633964535,0.7462856902632702
1,LF,left_hand,0.21234053268760822,0.7530319655136942,0.4174313333074949,0.7104614162383744,0.20509080061988666,0.540691432826086,0.2476613498952065
1,LF,feet,0.3376604254476029,1.0596236058356754,0.5311654972364117,1.1295185817625628,0.19350507178880882,0.7219631803880725,0.12361009586192151
2,LF,left_hand,0.19881457831293944,0.35880283557267506,1.8507729750211104,0.7491439572905687,1.651958396708171,0.15998825725973562,1.2616172749902774
2,LF,feet,0.23298471218000266,0.21815825362996244,0.9148979533889495,2.4869342239898735,0.6819132412089468,-0.014826458550040222,-1.586862729150964
3,LF,left_hand,0.20756697686586842,0.6007673730338002,0.517949712103549,0.6114391466941254,0.31038273523768056,0.3932003961679318,0.29971096157735555
3,LF,feet,0.36858647598129357,0.34913194543821496,0.5554233941346612,0.7541783505362472,0.18683691815336767,-0.019454530543078608,-0.21820948694466447
4,LF,left_hand,0.5450316145448901,0.29129918239912495,1.077720399706816,0.5023382015876443,0.532688785161926,-0.2537324321457652,0.32164976597340655
4,LF,feet,0.38751133151696693,0.48540512798448787,0.4772581698440209,0.943360278918864,0.08974683832705399,0.09789379646752094,-0.3682083126073221
5,LF,left_hand,0.1822898907703512,0.38219881846119014,0.3818682291296087,0.6590948976771884,0.1995783383592575,0.19990892769083893,-0.0773177408567407
5,LF,feet,0.18216088061762017,0.1977407308362499,0.46176141774263213,0.4112876013392876,0.279600537125012,0.015579850218629732,0.06605366662197426
6,LF,left_hand,0.35539222704097606,0.667973738434377,0.4738568872575135,0.6977870265028688,0.11846466021653745,0.31258151139340096,0.08865137214804553
6,LF,feet,0.3117843455615918,0.37265744553786945,0.5891478787919906,1.130011746911873,0.2773635332303988,0.060873099976277656,-0.47999076814360464
7,LF,left_hand,0.2933591035216309,0.351051571012394,0.4618308184265999,0.6617248880629192,0.16847171490496898,0.057692467490763066,-0.14220160214555633
7,LF,feet,0.47468156310202086,0.45928592737055884,0.564314577778217,0.5099399896605222,0.08963301467619617,-0.01539563573146202,0.03897895238623261
