class,S1-S2,S1-S3,S1-S4,S1-S5,S1-S6,S1-S7,S1-S8,S1-S9,S2-S3,S2-S4,S2-S5,S2-S6,S2-S7,S2-S8,S2-S9,S3-S4,S3-S5,S3-S6,S3-S7,S3-S8,S3-S9,S4-S5,S4-S6,S4-S7,S4-S8,S4-S9,S5-S6,S5-S7,S5-S8,S5-S9,S6-S7,S6-S8,S6-S9,S7-S8,S7-S9,S8-S9
left_hand,0.9387278411633722,0.14921554582178342,0.18558996775945769,0.060230101798015856,0.07172767107298883,0.020152744044167337,0.043627985240880685,0.4714620511582498,0.7079031577644653,0.167131089942046,0.4843775984839624,0.40986068192787106,0.7934003273603456,1.2784029912492387,5.057201954289649,0.08367888655793926,0.029949946197358412,0.03073600316848646,0.06543431852419668,0.13802315125696452,1.2459412714282458,-0.06004235373573802,-0.0843730985938666,0.09547985256939262,0.12391993528288459,2.2200434516812253,0.02765311111498242,-0.006578618352515386,-0.007706478205288303,0.5183238234473442,0.0012619666578594924,0.17508465853598598,0.9642903857371581,0.059968017056965306,0.9716092153478411,0.44037693847839154
right_hand,1.1690771047320854,0.13330962987923115,0.5887310261072097,0.027716687258884987,0.13390588181377666,0.022413794818081645,0.049557778095784155,-0.03220079169378093,0.8833350387228165,0.13586747357418816,0.25468182528245564,0.4033855165722177,0.8405753217902441,0.963645008318296,0.42849278736215124,0.33398201540358946,0.08703154510013644,0.08312485059845781,0.06239257158528044,0.13211042273015916,0.005633049425456282,0.07556877330202555,0.18222081373405202,0.3416892023022449,0.5130380714766958,0.10039982268308845,0.012160370687390343,0.05080091184143909,0.0853205412153678,-0.03518994098982564,0.08259747197399514,0.19420493523646187,-0.02071965253576713,0.1311538117608969,-0.056765077345236836,0.03181654115696164
feet,0.07742867953238186,0.1274428332657228,-0.057902055765963856,0.17695667803125692,0.19378980121017353,0.25765506022742424,0.3343766753022723,0.772019858681571,0.3890807832190062,0.1126951532282543,0.421616766819477,0.25663120923425564,0.7386930955839093,0.6521685423751147,1.903867874657494,0.08220283148877117,0.13506035864684213,0.021190625917615558,0.1369195456447645,0.21021057233508367,0.6920714398112559,0.13780276416165188,0.018187828394386985,0.2580904238232157,0.3777382584581688,1.0931805229194231,0.15568378851476267,-0.031076422552048732,0.1589486769249009,0.2539990645667389,0.22904827296060398,0.3668645183694851,0.9176377469956032,-0.04212127098307178,0.04513872581467282,-0.07379120722660415
tongue,-0.006408084978580031,0.15763301941963065,0.1341435128917186,0.1590956877453651,0.42685761859518845,0.19834488478968393,-0.0005929759336549267,0.03243919492037284,0.058811989688078825,0.08036964573989436,0.15737010742651175,0.4612090701938364,0.16427775239083092,0.03298262387402723,0.06227320566267486,0.07268515463352454,0.2117754620378654,0.43072541895966965,0.13506341721796367,0.10986884214569581,0.2491915614624569,0.22028013271561658,0.5150365649976726,0.1546933629253524,0.24563068293595597,0.10307429983917554,0.04954189639090173,0.04925137705115035,0.028370921514462688,0.211644006051733,0.07317619624049226,0.18023973374357932,0.8534865808166694,0.1326212769789702,0.40144396217994854,0.20522216546349042
