level,metric,subject,four_class_value,six_pair_mean,signed_error,absolute_error
subject,S,1,0.18564309356563657,0.18564309356563657,0.0,0.0
subject,S,2,0.8555791821879057,0.8555791821879057,0.0,0.0
subject,S,3,0.24018524035857453,0.24018524035857455,-2.7755575615628914e-17,2.7755575615628914e-17
subject,S,4,0.29225778289170257,0.29225778289170257,0.0,0.0
subject,S,5,0.17600499539850936,0.17600499539850936,0.0,0.0
subject,S,6,0.15107729809755022,0.15107729809755022,0.0,0.0
subject,S,7,0.152640414922184,0.152640414922184,0.0,0.0
subject,S,8,0.24485484737469482,0.24485484737469485,-2.7755575615628914e-17,2.7755575615628914e-17
subject,S,9,0.48416273998607456,0.48416273998607445,1.1102230246251565e-16,1.1102230246251565e-16
group,S,all,0.3091561771980925,0.3091561771980925,0.0,0.0
subject,C,1,0.5555626278019876,0.5555626278019877,-1.1102230246251565e-16,1.1102230246251565e-16
subject,C,2,0.033932563197719444,0.033932563197719444,0.0,0.0
subject,C,3,0.3750392521504267,0.37503925215042666,5.551115123125783e-17,5.551115123125783e-17
subject,C,4,0.07722377741994452,0.07722377741994453,-1.3877787807814457e-17,1.3877787807814457e-17
subject,C,5,0.05802825835709723,0.05802825835709722,1.3877787807814457e-17,1.3877787807814457e-17
subject,C,6,0.058731044019193185,0.05873104401919318,6.938893903907228e-18,6.938893903907228e-18
subject,C,7,0.11820702159907133,0.11820702159907133,0.0,0.0
subject,C,8,0.3402181737543327,0.3402181737543326,1.1102230246251565e-16,1.1102230246251565e-16
subject,C,9,1.9209431874611433,1.9209431874611436,-2.220446049250313e-16,2.220446049250313e-16
group,C,all,0.39309843397343514,0.39309843397343514,0.0,0.0
subject,J,1,0.2422969575656401,0.24229695756564018,-8.326672684688674e-17,8.326672684688674e-17
subject,J,2,-0.02406853911585838,-0.02406853911585836,-1.734723475976807e-17,1.734723475976807e-17
subject,J,3,0.14637347373342283,0.14637347373342277,5.551115123125783e-17,5.551115123125783e-17
subject,J,4,0.01425662349152415,0.01425662349152417,-1.9081958235744878e-17,1.9081958235744878e-17
subject,J,5,-0.05216957548581562,-0.05216957548581563,6.938893903907228e-18,6.938893903907228e-18
subject,J,6,-0.052812393488075426,-0.052812393488075406,-2.0816681711721685e-17,2.0816681711721685e-17
subject,J,7,0.0027626534437679567,0.0027626534437679567,0.0,0.0
subject,J,8,0.023179234757731038,0.02317923475773101,2.7755575615628914e-17,2.7755575615628914e-17
subject,J,9,1.4318612558257557,1.4318612558257555,2.220446049250313e-16,2.220446049250313e-16
group,J,all,0.19240885452534362,0.1924088545253436,2.7755575615628914e-17,2.7755575615628914e-17
