domain,profile,label,leave_one_out_correlation
G_subject_fixed_class,raw,S1,0.4576218257934631
G_subject_fixed_class,raw,S2,-0.6444267880029795
G_subject_fixed_class,raw,S3,0.6116927869839992
G_subject_fixed_class,raw,S4,0.7360509325692026
G_subject_fixed_class,raw,S5,0.7546891121089583
G_subject_fixed_class,raw,S6,-0.35605416033104054
G_subject_fixed_class,raw,S7,0.7538565997781939
G_subject_fixed_class,raw,S8,0.9193319965893795
G_subject_fixed_class,raw,S9,0.5236074985810535
G_subject_fixed_class,baseline_adjusted,S1,0.4571267460250236
G_subject_fixed_class,baseline_adjusted,S2,-0.5888977842289627
G_subject_fixed_class,baseline_adjusted,S3,0.6480406588424046
G_subject_fixed_class,baseline_adjusted,S4,0.6634377512217947
G_subject_fixed_class,baseline_adjusted,S5,0.7533572749882368
G_subject_fixed_class,baseline_adjusted,S6,-0.5857500804887755
G_subject_fixed_class,baseline_adjusted,S7,0.8733023755813037
G_subject_fixed_class,baseline_adjusted,S8,0.886301948718095
G_subject_fixed_class,baseline_adjusted,S9,0.5277584307956847
H_class_fixed_subject,raw,L,0.8094886482193246
H_class_fixed_subject,raw,R,0.36612607822832466
H_class_fixed_subject,raw,F,0.8402448145082504
H_class_fixed_subject,raw,T,-0.03970182361990218
H_class_fixed_subject,baseline_adjusted,L,0.7485434910875298
H_class_fixed_subject,baseline_adjusted,R,0.18064323993237205
H_class_fixed_subject,baseline_adjusted,F,0.8163491765273879
H_class_fixed_subject,baseline_adjusted,T,-0.10948998862638519
