matrix,outer_label,row,column,value
G,S1,L,L,0.21234053268760822
G,S1,L,R,0.257378887889783
G,S1,L,F,0.9063277856746847
G,S1,L,T,1.2560960277754725
G,S1,R,L,0.257378887889783
G,S1,R,R,0.21626828546240903
G,S1,R,F,0.9687887972008046
G,S1,R,T,1.270468454675012
G,S1,F,L,0.9063277856746847
G,S1,F,R,0.9687887972008046
G,S1,F,F,0.3376604254476029
G,S1,F,T,0.2787981795894454
G,S1,T,L,1.2560960277754725
G,S1,T,R,1.270468454675012
G,S1,T,F,0.2787981795894454
G,S1,T,T,0.3033856670645641
G,S2,L,L,0.19881457831293944
G,S2,L,R,0.24794681787436174
G,S2,L,F,0.2884805446013188
G,S2,L,T,0.20044820732518218
G,S2,R,L,0.24794681787436174
G,S2,R,R,0.25342516964575157
G,S2,R,F,0.36575609418811217
G,S2,R,T,0.22051285899038633
G,S2,F,L,0.2884805446013188
G,S2,F,R,0.36575609418811217
G,S2,F,F,0.23298471218000266
G,S2,F,T,0.2548782716203655
G,S2,T,L,0.20044820732518218
G,S2,T,R,0.22051285899038633
G,S2,T,F,0.2548782716203655
G,S2,T,T,0.23106048347024633
G,S3,L,L,0.20756697686586842
G,S3,L,R,0.26381470559574693
G,S3,L,F,0.4749496592360076
G,S3,L,T,1.013366936310566
G,S3,R,L,0.26381470559574693
G,S3,R,R,0.24831873117406286
G,S3,R,F,0.5239322296899354
G,S3,R,T,1.1423971752572468
G,S3,F,L,0.4749496592360076
G,S3,F,R,0.5239322296899354
G,S3,F,F,0.36858647598129357
G,S3,F,T,0.48550462678590955
G,S3,T,L,1.013366936310566
G,S3,T,R,1.1423971752572468
G,S3,T,F,0.48550462678590955
G,S3,T,T,0.2780143626273433
G,S4,L,L,0.5450316145448901
G,S4,L,R,0.47998202249800537
G,S4,L,F,0.38835215519180644
G,S4,L,T,0.6228377257177993
G,S4,R,L,0.47998202249800537
G,S4,R,R,0.3661732073018663
G,S4,R,F,0.3639262658631638
G,S4,R,T,0.5672497841949403
G,S4,F,L,0.38835215519180644
G,S4,F,R,0.3639262658631638
G,S4,F,F,0.38751133151696693
G,S4,F,T,0.34225204463236325
G,S4,T,L,0.6228377257177993
G,S4,T,R,0.5672497841949403
G,S4,T,F,0.34225204463236325
G,S4,T,T,0.2354554023552173
G,S5,L,L,0.1822898907703512
G,S5,L,R,0.2570719751429397
G,S5,L,F,0.28996977464872004
G,S5,L,T,0.3325664908162091
G,S5,R,L,0.2570719751429397
G,S5,R,R,0.3191259587396799
G,S5,R,F,0.2710060424138235
G,S5,R,T,0.31690796603839233
G,S5,F,L,0.28996977464872004
G,S5,F,R,0.2710060424138235
G,S5,F,F,0.18216088061762017
G,S5,F,T,0.2401718241382313
G,S5,T,L,0.3325664908162091
G,S5,T,R,0.31690796603839233
G,S5,T,F,0.2401718241382313
G,S5,T,T,0.22277295190950375
G,S6,L,L,0.35539222704097606
G,S6,L,R,0.31947787434083497
G,S6,L,F,0.5203155919861232
G,S6,L,T,0.360133338377859
G,S6,R,L,0.31947787434083497
G,S6,R,R,0.3406970636060349
G,S6,R,F,0.45165001787191605
G,S6,R,T,0.39615326932192096
G,S6,F,L,0.5203155919861232
G,S6,F,R,0.45165001787191605
G,S6,F,F,0.3117843455615918
G,S6,F,T,0.5451301832230794
G,S6,T,L,0.360133338377859
G,S6,T,R,0.39615326932192096
G,S6,T,F,0.5451301832230794
G,S6,T,T,0.4857757044624469
G,S7,L,L,0.2933591035216309
G,S7,L,R,0.26860867114030407
G,S7,L,F,0.4051687491914764
G,S7,L,T,0.6615296014657748
G,S7,R,L,0.26860867114030407
G,S7,R,R,0.34720896241163435
G,S7,R,F,0.46195506072797876
G,S7,R,T,0.5753853088781771
G,S7,F,L,0.4051687491914764
G,S7,F,R,0.46195506072797876
G,S7,F,F,0.47468156310202086
G,S7,F,T,0.5082874908675337
G,S7,T,L,0.6615296014657748
G,S7,T,R,0.5753853088781771
G,S7,T,F,0.5082874908675337
G,S7,T,T,0.332545539415925
G,S8,L,L,0.5216673373454997
G,S8,L,R,0.3981538535982422
G,S8,L,F,0.5444056069689346
G,S8,L,T,1.4293402391466887
G,S8,R,L,0.3981538535982422
G,S8,R,R,0.29885618679337506
G,S8,R,F,0.43501441460910706
G,S8,R,T,1.0011167186105814
G,S8,F,L,0.5444056069689346
G,S8,F,R,0.43501441460910706
G,S8,F,F,0.4059256849591433
G,S8,F,T,0.7082851398286505
G,S8,T,L,1.4293402391466887
G,S8,T,R,1.0011167186105814
G,S8,T,F,0.7082851398286505
G,S8,T,T,0.42355541105945427
G,S9,L,L,0.6527890588649328
G,S9,L,R,2.085408283290316
G,S9,L,F,1.7539653397101955
G,S9,L,T,7.049366614377602
G,S9,R,L,2.085408283290316
G,S9,R,R,0.7781925407358559
G,S9,R,F,0.8074236347863435
G,S9,R,T,1.181790875678016
