registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,start_index,initial_determinant,final_determinant,starting_permutation,final_permutation,initial_objective,final_objective,final_gradient_norm,gradient_tolerance,gradient_ratio_to_tolerance,optimizer_iterations,cost_calls_counted,gradient_calls_counted,hessian_calls_counted,runtime_seconds,alternations,stopping_criterion,converged,objective_change_last_10_iterations,objective_change_last_50_iterations,objective_change_last_100_iterations,trajectory_classification,truth_determinant,dimension,audit_index
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,-1,-1,"1,0,4,2,3","1,0,3,2,4",0.1565269998754659,0.06077146935762097,6.401626431253569e-07,1e-06,0.640162643125357,73,231,73,0,0.053022081,3,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974204897,0.09905427416106069,7.335728934856681e-07,1e-06,0.7335728934856681,82,232,82,0,0.055783749,1,assignment_stable_and_action_converged,True,2.1105980851920947e-10,0.001766596675530016,,still_descending_at_termination,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,-1,-1,"2,0,4,1,3","2,0,4,1,3",6.428723339485488e-29,9.44907453035042e-30,6.719497675250481e-16,1e-06,6.719497675250481e-10,1,2,2,8,0.004864207,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,1,1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399516,0.05993427311151165,8.503135761337332e-10,1e-06,0.0008503135761337332,10,11,11,26,0.017342041,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,-1,-1,"1,0,4,2,3","1,0,3,2,4",0.1565269998754659,0.06077146935587881,3.1292966685790134e-16,1e-06,3.1292966685790135e-10,14,17,17,55,0.034143333,3,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974204897,0.12209620624320934,8.17848367417517e-10,1e-06,0.000817848367417517,8,9,9,25,0.015637374,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,1,1,"2,0,4,1,3","2,0,4,1,3",9.180615303542405e-29,9.180615303542405e-29,5.4764420759921085e-15,1e-06,5.4764420759921084e-09,1,1,1,0,0.000425959,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,-1,-1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399605,0.05993427311581427,6.723191625419694e-07,1e-06,0.6723191625419694,36,111,36,0,0.024869417,1,assignment_stable_and_action_converged,True,6.551745604377324e-10,,,still_descending_at_termination,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,1,"1,0,4,2,3","1,0,3,2,4",0.15652699987546184,0.06077146935668774,5.090849445402026e-07,1e-06,0.5090849445402026,68,224,68,0,0.049367749,3,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,-1,-1,"1,0,4,2,3","1,0,4,2,3",0.21622305974205025,0.09905427417365711,8.291907789126702e-07,1e-06,0.8291907789126702,70,201,70,0,0.047053958,1,assignment_stable_and_action_converged,True,2.1712020931152765e-09,0.004590648072296422,,still_descending_at_termination,1.0,4.0,
