registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,start_index,alternation,permutation_before,permutation_after,objective_before,objective_after_solve,objective_after_assignment,gradient_norm,iterations,cost_evaluations_reported,cost_calls_counted,gradient_calls_counted,hessian_calls_counted,runtime_seconds,stopping_criterion,converged,truth_determinant,dimension,audit_index
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,"1,0,4,2,3","1,0,3,2,4",0.1565269998754659,0.0762378904522337,0.07574690062180911,4.389316373325114e-07,42,42.0,130,42,0,0.030114291,"Terminated - min grad norm reached after 42 iterations, 0.03 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,2,"1,0,3,2,4","1,0,3,2,4",0.07574690062180911,0.06077146935762097,0.06077146935762097,6.401626431253569e-07,30,30.0,100,30,0,0.022484457,"Terminated - min grad norm reached after 30 iterations, 0.02 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,3,"1,0,3,2,4","1,0,3,2,4",0.06077146935762097,0.06077146935762097,0.06077146935762097,6.401626431253569e-07,1,1.0,1,1,0,0.000423333,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974204897,0.09905427416106069,0.09905427416106069,7.335728934856681e-07,82,82.0,232,82,0,0.055783749,"Terminated - min grad norm reached after 82 iterations, 0.06 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,1,"2,0,4,1,3","2,0,4,1,3",6.428723339485488e-29,9.44907453035042e-30,9.44907453035042e-30,6.719497675250481e-16,1,,2,2,8,0.004864207,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399516,0.05993427311151165,0.05993427311151165,8.503135761337332e-10,10,,11,11,26,0.017342041,"Terminated - min grad norm reached after 10 iterations, 0.02 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,"1,0,4,2,3","1,0,3,2,4",0.1565269998754659,0.07623789045054896,0.07574688220268178,4.0409029644092515e-07,7,,8,8,28,0.017147792,"Terminated - min grad norm reached after 7 iterations, 0.02 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,2,"1,0,3,2,4","1,0,3,2,4",0.07574688220268178,0.06077146935587886,0.06077146935587886,4.257775418321496e-10,6,,7,7,20,0.012757207,"Terminated - min grad norm reached after 6 iterations, 0.01 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,3,"1,0,3,2,4","1,0,3,2,4",0.06077146935587886,0.06077146935587881,0.06077146935587881,3.1292966685790134e-16,1,,2,2,7,0.004238334,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974204897,0.12209620624320934,0.12209620624320934,8.17848367417517e-10,8,,9,9,25,0.015637374,"Terminated - min grad norm reached after 8 iterations, 0.02 seconds.",True,-1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,1,"2,0,4,1,3","2,0,4,1,3",9.180615303542405e-29,9.180615303542405e-29,9.180615303542405e-29,5.4764420759921085e-15,1,1.0,1,1,0,0.000425959,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399605,0.05993427311581427,0.05993427311581427,6.723191625419694e-07,36,36.0,111,36,0,0.024869417,"Terminated - min grad norm reached after 36 iterations, 0.02 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,"1,0,4,2,3","1,0,3,2,4",0.15652699987546184,0.07623789045964494,0.07574617713443874,9.161438058965243e-07,40,40.0,125,40,0,0.028129958,"Terminated - min grad norm reached after 40 iterations, 0.03 seconds.",True,1.0,4.0,
