protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,D_shape_norm,G_shape_norm,D_upper_mean,D_upper_max,class_radius_mean,class_radius_max
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,5,F,1.1469793310307956,0.22020823388361233,0.4616505637385664,0.6129485055048268,0.28280588123286876,0.3438818278269812
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,A,2.0505430099499753,0.7117196651580826,0.8254774151164134,0.9779330546457012,0.5115502182417451,0.5545110164352812
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,B,2.135042122306034,0.7911784232228192,0.8556897938094056,1.169849191719419,0.5235374448835435,0.6544355368508662
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,F,1.862436207476875,0.6129739417080174,0.7458076778835198,0.9646557526038694,0.4623933491310721,0.5253317795425724
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,A,3.430530473830457,2.3887962491693764,1.3416969672836518,2.037810308568062,0.8283461880921221,1.1197519071871016
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,B,2.6919963566767384,1.4588978733066402,1.05077988993583,1.507756780886876,0.6589137349514812,0.8622197648789259
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,F,2.9560833084610842,1.8109390819152273,1.1472844823812058,1.7316540567817207,0.7165380583730308,0.9707402431657167
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,A,3.930750332434025,2.857422909458358,1.5378426760591892,2.231205568057308,0.9329144222475616,1.3773822286868518
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,B,3.5030507548527234,2.3735593432156405,1.3456690021086972,1.8581949915613662,0.8294432701127522,1.3109789324291148
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,F,3.6018235399608325,2.4782977973787617,1.391310217021786,2.004358383599307,0.8523446577518591,1.3216789050137607
