subject,S_s,C_s,J_s
1,0.20692318365034917,0.04307447881477437,0.03207943464871085
2,1.2577248836012782,0.02182694389501623,-0.020045344094486106
3,0.2798165141537577,0.03587185157578128,0.0430746187109462
4,0.45013900038911764,0.02437961157462712,0.030496506499999965
5,0.10885654631973825,0.006364050387924147,-0.0400968022845688
6,0.09435475902175416,-0.028566770982670547,-0.10817622894134371
7,0.17860470341368265,-0.05167536182632859,-0.04526238240584138
8,0.2595293430576321,-0.01210790847119525,-0.06503441463067006
9,0.44744496979379256,1.3699174834899217,1.2451282389143032
