subject,class,a,b,c,d,S_sc,C_sc,J_sc
1,left_hand,0.21234053268760822,0.19923665121803685,0.4174313333074949,0.44330122292769253,0.20509080061988666,-0.013103881469571366,-0.038973771089769016
1,right_hand,0.21626828546240903,0.31552112456152914,0.42502385214322075,0.42114405085515005,0.20875556668081172,0.09925283909912011,0.10313264038719072
2,left_hand,0.19881457831293944,0.29885279454552716,1.8507729750211104,1.0634819931906723,1.651958396708171,0.10003821623258771,0.8873291980630258
2,right_hand,0.25342516964575157,0.19704084120319632,1.116916540140137,1.98795209794958,0.8634913704943855,-0.056384328442555254,-0.927419886251998
3,left_hand,0.20756697686586842,0.2380146257825085,0.517949712103549,0.4177652865663727,0.31038273523768056,0.03044764891664009,0.13063207445381642
3,right_hand,0.24831873117406286,0.28961478540898533,0.49756902424389765,0.583347915510744,0.2492502930698348,0.04129605423492247,-0.044482837031924016
4,left_hand,0.5450316145448901,0.3423246497765939,1.077720399706816,0.6445962624976047,0.532688785161926,-0.20270696476829625,0.2304171724409152
4,right_hand,0.3661732073018663,0.6176393952194168,0.7337624229181756,1.1546527702766414,0.3675892156163093,0.2514661879175505,-0.16942415944091527
5,left_hand,0.1822898907703512,0.3475806534334794,0.3818682291296087,0.390526395725727,0.1995783383592575,0.16529076266312817,0.15663259606700985
5,right_hand,0.3191259587396799,0.16656329685240004,0.3372607130198989,0.42152425176876646,0.01813475428021899,-0.15256266188727988,-0.23682620063614745
6,left_hand,0.35539222704097606,0.3705003207096202,0.4738568872575135,0.4727072112030102,0.11846466021653745,0.01510809366864413,0.01625776972314752
6,right_hand,0.3406970636060349,0.2684554279720497,0.4109419214330058,0.5713105134048555,0.07024485782697087,-0.07224163563398522,-0.23261022760583494
7,left_hand,0.2933591035216309,0.2601257093313792,0.4618308184265999,0.41484986660798906,0.16847171490496898,-0.03323339419025173,0.013747557628359164
7,right_hand,0.34720896241163435,0.2770916329492289,0.5359466543340307,0.5701016473116671,0.1887376919223963,-0.07011732946240545,-0.10427232244004192
8,left_hand,0.5216673373454997,0.4141655695712887,0.6975230138236216,0.8590220574331479,0.17585567647812184,-0.10750176777421105,-0.26900081138373744
8,right_hand,0.29885618679337506,0.3821421376251956,0.6420591964305173,0.5864131651399407,0.3432030096371423,0.08328595083182055,0.13893198212239732
9,left_hand,0.6527890588649328,2.7243479624483227,1.7583194744864596,2.0859075905045135,1.1055304156215269,2.07155890358339,1.7439707875653365
9,right_hand,0.7781925407358559,1.4464686041323094,0.5675520647019141,0.48954243783509743,-0.21064047603394176,0.6682760633964535,0.7462856902632702
