session,geometry,object,subject,effect
1test,LE,D_exact,7,0.038200084643666754
1test,LE,D_exact,8,0.008690043811628967
1test,LE,D_exact,9,0.02192460140238972
1test,LE,D_tan,1,0.03216025895839025
1test,LE,D_tan,2,-0.013006309132726601
1test,LE,D_tan,3,0.02631457360130851
1test,LE,D_tan,4,0.033641798477193396
1test,LE,D_tan,5,0.007970911873226738
1test,LE,D_tan,6,-0.016779633678631334
1test,LE,D_tan,7,0.03820008464366664
1test,LE,D_tan,8,0.008690043811629078
1test,LE,D_tan,9,0.02192460140238961
1test,LE,K_exact,1,0.22539378087540596
1test,LE,K_exact,2,-0.08395176988601138
1test,LE,K_exact,3,0.21684616899926745
1test,LE,K_exact,4,0.23184104318350518
1test,LE,K_exact,5,0.04690597230812976
1test,LE,K_exact,6,-0.07460542979772755
1test,LE,K_exact,7,0.2533305887393593
1test,LE,K_exact,8,0.06978456840420022
1test,LE,K_exact,9,0.18178579216680868
1test,LE,G0,1,0.22539378087540607
1test,LE,G0,2,-0.08395176988601127
1test,LE,G0,3,0.21684616899926745
1test,LE,G0,4,0.23184104318350518
1test,LE,G0,5,0.04690597230812976
1test,LE,G0,6,-0.07460542979772755
1test,LE,G0,7,0.25333058873935976
1test,LE,G0,8,0.06978456840420044
1test,LE,G0,9,0.18178579216680868
1test,LE,G,1,0.22539378087540607
1test,LE,G,2,-0.0839517698860115
1test,LE,G,3,0.21684616899926745
1test,LE,G,4,0.23184104318350518
1test,LE,G,5,0.04690597230812987
1test,LE,G,6,-0.07460542979772744
1test,LE,G,7,0.25333058873935954
1test,LE,G,8,0.06978456840420033
1test,LE,G,9,0.18178579216680857
