session,geometry,object,effect,subject,anchor_energy,anchor_fraction
0train,AIRM,G0,0.10326049265128234,5.0,1.9751841988215404e-06,1.6993276400239654e-06
0train,AIRM,G,0.10326027745226085,5.0,1.9751841988215404e-06,1.6993276400239654e-06
0train,LE,G0,0.12538001381422204,5.0,9.107298248878237e-18,8.820315500727857e-18
0train,LE,G,0.12538001381422192,5.0,9.107298248878237e-18,8.820315500727857e-18
1test,AIRM,G0,0.10133564780994542,5.0,1.798840501080097e-06,1.8298828001293365e-06
1test,AIRM,G,0.10133515067023546,5.0,1.798840501080097e-06,1.8298828001293365e-06
1test,LE,G0,0.12985384318988413,5.0,-1.3010426069826053e-18,-1.7167276469496245e-18
1test,LE,G,0.12985384318988402,5.0,-1.3010426069826053e-18,-1.7167276469496245e-18
