session,subject,split,LE_D_exact_D_tan_relative_error,LE_G_G0_relative_error,LE_K_exact_G0_relative_error
0train,1.0,A,2.6241492701331607e-16,1.170952123041556e-14,2.360733278458737e-16
0train,1.0,B,1.510219085848191e-16,1.9580946031030106e-14,2.6010604249343226e-16
0train,1.0,F,1.5460807769334065e-16,2.622357132843297e-14,3.4306067137129996e-16
0train,2.0,A,1.432696234646995e-16,6.198295584315243e-14,3.145647926212517e-16
0train,2.0,B,4.740303072238766e-16,7.107188915366698e-14,6.05738427260972e-16
0train,2.0,F,2.341423921977691e-16,1.3304431138065022e-13,4.1939232634175214e-16
0train,3.0,A,3.3450845310935503e-16,1.8770324981941863e-14,2.9077203402149384e-16
0train,3.0,B,2.693533697184625e-16,1.521491304540974e-13,3.858107807979555e-16
0train,3.0,F,0.0,1.9346571951500304e-14,1.4316248621759578e-16
0train,4.0,A,3.1321270075145995e-16,1.453872611877328e-13,4.8640409126303e-16
0train,4.0,B,2.1469695749602969e-16,2.1646176181897565e-13,2.447367340259478e-16
0train,4.0,F,1.4951405995515984e-16,1.840905142516196e-13,2.439681917014306e-16
0train,5.0,A,1.8301879857089508e-16,1.8046976540055322e-13,2.8843417292761016e-16
0train,5.0,B,1.6860849722465278e-16,4.395321317266073e-13,2.436135305191023e-16
0train,5.0,F,3.357480155733388e-16,2.2724777321564007e-13,3.8207747883952526e-16
0train,6.0,A,1.2015881537236888e-16,2.1256626025705906e-13,3.651457349945132e-16
0train,6.0,B,2.326870247136686e-16,2.355743286108468e-13,3.4311835898087675e-16
0train,6.0,F,4.7244846202058175e-17,7.709225344623453e-14,1.6450874596488534e-16
0train,7.0,A,2.6574424420061355e-16,1.5071978144795803e-13,2.5308438270809235e-16
0train,7.0,B,2.697737647196354e-16,3.036691336552614e-14,3.882966892160034e-16
0train,7.0,F,4.318537309335768e-16,2.683518097437153e-14,5.578084540566173e-16
0train,8.0,A,2.060893047616415e-16,2.0683139040433123e-13,2.557578087614738e-16
0train,8.0,B,4.583354054598293e-17,1.2024083349717113e-14,1.5355737642076785e-16
0train,8.0,F,1.5658883365051679e-16,5.88278666208949e-14,2.7390388070905817e-16
0train,9.0,A,4.491744478100423e-16,3.450468640018818e-14,4.1343600370266795e-16
0train,9.0,B,2.0338331466490523e-16,5.227466261518679e-14,2.250848423726537e-16
0train,9.0,F,4.826933150654901e-16,2.6386561472019592e-14,5.155183350039882e-16
1test,1.0,A,3.2499158511445597e-16,7.517011907342514e-15,3.8252818665607035e-16
1test,1.0,B,2.3429549907792874e-16,3.0987133970956376e-14,2.8969000600126573e-16
1test,1.0,F,4.435959256148981e-16,1.130022839074058e-13,3.0350226279612284e-16
1test,2.0,A,2.900644495403942e-16,1.1947005794293976e-13,5.257899056085862e-16
1test,2.0,B,2.509226231811619e-16,1.6673757884139654e-13,2.812785795053048e-16
1test,2.0,F,3.0701509312870203e-16,1.6821408918041523e-13,3.919495774575018e-16
1test,3.0,A,2.651056195385888e-16,7.27564965208694e-14,3.1121017211716206e-16
1test,3.0,B,4.1213936043551063e-16,2.0537805565847584e-14,3.8929108849149744e-16
1test,3.0,F,1.6797534405938493e-16,7.16970796337677e-14,2.3508030974235695e-16
1test,4.0,A,2.667687441982556e-16,5.2750631668460015e-14,4.831460759614621e-16
1test,4.0,B,2.1467372161443546e-16,4.1593565879529073e-14,2.711400768828981e-16
1test,4.0,F,7.049626385325983e-17,9.101752045529034e-14,2.450783831894316e-16
1test,5.0,A,1.775338617033902e-16,2.4475211835771763e-13,2.7193328140594406e-16
1test,5.0,B,3.0274434628065984e-16,2.5713774049118946e-13,3.6042353593221463e-16
1test,5.0,F,2.5088358018768474e-16,5.6390057905431944e-14,3.598180609831446e-16
1test,6.0,A,1.8423381541993905e-16,1.2452793640616415e-13,4.0697183374902354e-16
1test,6.0,B,2.0570121690300232e-16,2.8277702290025294e-13,2.2016890578160202e-16
1test,6.0,F,1.7743323237677883e-16,1.7662414507224955e-13,2.853409209010649e-16
1test,7.0,A,2.6075235971705824e-16,6.393626416778998e-14,3.335819972694938e-16
1test,7.0,B,7.905595852997684e-17,3.231266576225327e-14,2.701339324642971e-16
1test,7.0,F,4.302722610682765e-16,8.305689660090493e-14,6.230127746614175e-16
1test,8.0,A,2.3473818331392023e-16,1.688698237489283e-14,5.153469351758268e-16
1test,8.0,B,2.0692321866095925e-16,8.382333853605335e-14,2.571575787942475e-16
1test,8.0,F,3.3165750779499286e-16,1.1390551671610759e-14,4.271758829667787e-16
1test,9.0,A,1.3555873827886844e-16,3.517767886795212e-14,2.0017009998266484e-16
1test,9.0,B,2.532512051210036e-16,7.503837850006775e-14,4.593392260440866e-16
1test,9.0,F,2.612982755378088e-16,4.004580211109852e-14,2.243091928555195e-16
0train,,STAGE_S_REGRESSION,,,
0train,,STAGE_S_REGRESSION,,,
1test,,STAGE_S_REGRESSION,,,
1test,,STAGE_S_REGRESSION,,,
