session,geometry,subject,split,class_pair,D_exact,D_tan,C,relative_curvature
0train,AIRM,1,A,12,0.9550536521054143,0.9545436796551086,0.0009738420303750939,0.0010676600074404816
0train,AIRM,1,A,13,1.6494658377482299,1.649307592113519,0.0005220164951755812,0.00019186580315145113
0train,AIRM,1,A,14,2.0557097953785304,2.0555293963189354,0.0007416636839518986,0.0001755025388601849
0train,AIRM,1,A,23,2.0098224232399313,2.0095661006914556,0.0010302599097684606,0.0002550535813252053
0train,AIRM,1,A,24,2.5117505979006807,2.511520832176478,0.0011541755979989077,0.0001829442901953176
0train,AIRM,1,A,34,0.8187262102113156,0.8175876255555362,0.001863081825443702,0.0027794223250317803
0train,AIRM,1,B,12,0.868880693763467,0.8683039769948591,0.001001863529795033,0.0013270530138258054
0train,AIRM,1,B,13,1.8194155058155335,1.819275512220837,0.0005093934356041885,0.00015388261603414157
0train,AIRM,1,B,14,2.443709633375669,2.4435597742800987,0.0007324017732388555,0.00012264509540068665
0train,AIRM,1,B,23,1.866512280537962,1.8663732426104398,0.0005190126668157546,0.00014897598097905648
0train,AIRM,1,B,24,2.528703779669339,2.52847365139002,0.0011637995404205626,0.00018200455869419295
0train,AIRM,1,B,34,0.8644727295485881,0.8636752966915836,0.0013780820178914688,0.0018440490574109653
0train,AIRM,1,F,12,0.8549451293202815,0.85457183023732,0.000638161113310165,0.0008730796221047979
0train,AIRM,1,F,13,1.7135112892667201,1.7134075415248173,0.000355535090379,0.00012109007014110117
0train,AIRM,1,F,14,2.226432076454756,2.2263184900146444,0.0005057720855496939,0.00010203189567632865
0train,AIRM,1,F,23,1.915916246581929,1.9157765844710775,0.0005351423089199336,0.00014578614353849594
0train,AIRM,1,F,24,2.4947647618745417,2.494603695474531,0.0008036196157519271,0.00012911934873140223
0train,AIRM,1,F,34,0.7779903486015894,0.7772233063839955,0.0011929145307525424,0.0019708833018196145
0train,AIRM,2,A,12,0.5193102570611026,0.5191868163158624,0.0001281928526674081,0.00047534618292832947
0train,AIRM,2,A,13,1.1458905086561186,1.1458095565745043,0.0001855178907161914,0.00014128613781181541
0train,AIRM,2,A,14,0.6853777261322695,0.685248510746172,0.00017710599839371177,0.00037702773398378835
0train,AIRM,2,A,23,0.9780656871502862,0.977953858533425,0.00021873896034729778,0.0002286599464298786
0train,AIRM,2,A,24,0.794325341870822,0.7942501451661557,0.00011945564173898582,0.00018932581239700983
0train,AIRM,2,A,34,1.0598518530753245,1.0596960518821514,0.0003302280925798762,0.0002939839961877268
0train,AIRM,2,B,12,0.4875508608296053,0.4874138335258247,0.00013359678334881608,0.0005620256628250704
0train,AIRM,2,B,13,0.86686582081464,0.8667730661869657,0.00016080302948551228,0.00021398851604360826
0train,AIRM,2,B,14,0.540565714121148,0.5404783795561514,9.441251566338904e-05,0.0003230967402004106
0train,AIRM,2,B,23,0.9541033609966059,0.9540007046523,0.00019587898793460568,0.00021517757062674666
0train,AIRM,2,B,24,0.5913339733279694,0.5912429978239302,0.00010758553601575294,0.00030767217831603115
0train,AIRM,2,B,34,0.94812986683523,0.9480442012456836,0.00016243686942485347,0.00018069617360856632
0train,AIRM,2,F,12,0.36602893925782004,0.3659256328494637,7.561559792440553e-05,0.0005643916035226373
0train,AIRM,2,F,13,0.9518648891869954,0.9518159931583606,9.308243493466595e-05,0.0001027346912957295
0train,AIRM,2,F,14,0.5037085709238873,0.5036443940064028,6.464880810813645e-05,0.0002548014182644928
0train,AIRM,2,F,23,0.9155113507543514,0.9154381254965271,0.00013407174746171702,0.00015995941367525076
0train,AIRM,2,F,24,0.6186314071855484,0.6185829217215181,5.99869108420803e-05,0.00015674459277102378
0train,AIRM,2,F,34,0.9648163492824072,0.9647475674699829,0.00013271890338273362,0.00014257503149854635
0train,AIRM,3,A,12,1.5833361267322819,1.5827397612684693,0.0018881383154134568,0.0007531605486160003
0train,AIRM,3,A,13,1.7252716634072538,1.7248814380103583,0.0013463373633508802,0.00045231284346765576
0train,AIRM,3,A,14,2.6056673441913607,2.605314481216958,0.0018387625464715285,0.00027082434954715773
0train,AIRM,3,A,23,1.7130857238460493,1.7126197824754053,0.0015961779190383218,0.0005439050697501633
0train,AIRM,3,A,24,2.448871228772551,2.4483689150807484,0.0024599507763038986,0.00041019892633281467
0train,AIRM,3,A,34,1.3141572283811331,1.3134907194784295,0.0017513507504192116,0.0010140946146773061
0train,AIRM,3,B,12,1.1754032281728646,1.1749466756858473,0.001073058093967516,0.000776693152713222
0train,AIRM,3,B,13,1.238926448486847,1.2385041147383244,0.0010463025364710887,0.0006816575189354078
0train,AIRM,3,B,14,1.5710108764067985,1.570800604549138,0.0006606345365196553,0.00026767196701938035
0train,AIRM,3,B,23,1.3043875404480338,1.3041113120389691,0.0007205414880697703,0.00042349248553706366
0train,AIRM,3,B,24,1.52205744904549,1.5217619521779817,0.0008994390983225742,0.0003882483980651546
0train,AIRM,3,B,34,0.8920954987976731,0.8916116224427328,0.0008630937001068428,0.0010845142191750936
0train,AIRM,3,F,12,1.3148357357369844,1.3145080169946683,0.0008616852277618658,0.0004984316929760426
0train,AIRM,3,F,13,1.4164270378169588,1.4161687447703024,0.0007316397946306452,0.00036467744430404716
0train,AIRM,3,F,14,2.0462350188609095,2.046031811681445,0.0008315780002510209,0.00019860581757094034
0train,AIRM,3,F,23,1.4687377311182417,1.4685175292643813,0.0006467890535972742,0.0002998293598817807
0train,AIRM,3,F,24,1.9543417865917259,1.954038309121281,0.0011861053049844195,0.0003105433348158622
0train,AIRM,3,F,34,1.051577385935392,1.0511149840133112,0.000972288993408954,0.00087925104527474
0train,AIRM,4,A,12,0.5906721715764828,0.5905289286344115,0.00016919872077203468,0.00048495791797074987
0train,AIRM,4,A,13,0.6111374178511748,0.6110528265961768,0.00010338660662417842,0.00027681303134690255
0train,AIRM,4,A,14,0.7034202916163741,0.7033167200641468,0.00014569793587532187,0.00029445817394725275
0train,AIRM,4,A,23,0.6645176478654323,0.6644373228443726,0.00010674833600965439,0.0002417397538999402
0train,AIRM,4,A,24,0.6683189282074999,0.6681755865844553,0.00019157529294056008,0.00042891573162918045
0train,AIRM,4,A,34,0.5760515033614323,0.5759148968908809,0.00015736606413219167,0.0004742293775238452
0train,AIRM,4,B,12,0.6113425175150222,0.6112176306896604,0.00015268165572318582,0.0004085240782783922
0train,AIRM,4,B,13,0.9454364702895514,0.9453669035815369,0.00013153696622292266,0.0001471577430879021
0train,AIRM,4,B,14,0.9666974952895346,0.9666554415205982,8.130477767709365e-05,8.700313059465456e-05
0train,AIRM,4,B,23,0.7095409787131056,0.7094849832245194,7.945905205519743e-05,0.0001578295848800395
0train,AIRM,4,B,24,0.6883014312958894,0.6882172867407982,0.00011582655510394835,0.0002444841981947162
0train,AIRM,4,B,34,0.4642336641411661,0.4640717448396887,0.00015031056337988513,0.0006974550800513971
0train,AIRM,4,F,12,0.5303810255907417,0.5302650731030383,0.00012298455371650974,0.0004371944216655518
0train,AIRM,4,F,13,0.6858308015963896,0.6857726642033198,7.974144982708653e-05,0.00016953140279375291
0train,AIRM,4,F,14,0.7828900186793348,0.7828513139670599,6.0601567777096577e-05,9.887405537149942e-05
0train,AIRM,4,F,23,0.6053492321963583,0.6053128921889426,4.3995470578095386e-05,0.00012005934660806729
0train,AIRM,4,F,24,0.6168965626945686,0.6168145255293898,0.00010121016032760277,0.0002659496432242511
0train,AIRM,4,F,34,0.42836892151187317,0.428265173856385,8.887377900568261e-05,0.000484325948204912
0train,AIRM,5,A,12,0.4610704217264035,0.46101034446264855,5.53960893937e-05,0.00026058210158048906
0train,AIRM,5,A,13,0.5346208287428755,0.5345776260373066,4.619226603658211e-05,0.00016161345627069103
0train,AIRM,5,A,14,0.5432853901597071,0.543234534648719,5.525552597496208e-05,0.0001872059572526514
0train,AIRM,5,A,23,0.5392653015517952,0.539222072547947,4.66219348452257e-05,0.00016031912695050872
0train,AIRM,5,A,24,0.5182093287599747,0.5181620227375422,4.9026606402380324e-05,0.00018256662156971126
0train,AIRM,5,A,34,0.4986045556535079,0.4985435990355186,6.0782779144147314e-05,0.00024449392284839057
0train,AIRM,5,B,12,0.47118460308029847,0.4711105304164894,6.979831063241848e-05,0.0003143856612519186
0train,AIRM,5,B,13,0.6104669314324362,0.6104059806893011,7.44131112673796e-05,0.00019967568184219112
0train,AIRM,5,B,14,0.8270421450337142,0.8269942734679792,7.918131313644494e-05,0.00011576237208923453
0train,AIRM,5,B,23,0.47754646578444937,0.47751020879880673,3.4627476138249236e-05,0.00015184117928690192
0train,AIRM,5,B,24,0.6486287678361086,0.6485748880670574,6.98930333923875e-05,0.00016612747969967423
0train,AIRM,5,B,34,0.5329888475099585,0.5328995146024204,9.521890649855091e-05,0.0003351868299853856
0train,AIRM,5,F,12,0.3744362003396354,0.37439757700516835,2.8922457442626115e-05,0.00020629064401979304
0train,AIRM,5,F,13,0.45432758712088483,0.4543063148025978,1.9328749568114922e-05,9.364089211694705e-05
0train,AIRM,5,F,14,0.6129485055048268,0.6129203255268024,3.454495671928459e-05,9.194681116494303e-05
0train,AIRM,5,F,23,0.4082283961457277,0.4082105296317058,1.4586917515463371e-05,8.753003572469696e-05
