session,geometry,subject,split,class_pair,D_exact,D_tan,C,relative_curvature
0train,AIRM,1,F,12,0.8549451293202815,0.85457183023732,0.000638161113310165,0.0008730796221047979
0train,AIRM,1,F,13,1.7135112892667201,1.7134075415248173,0.000355535090379,0.00012109007014110117
0train,AIRM,1,F,14,2.226432076454756,2.2263184900146444,0.0005057720855496939,0.00010203189567632865
0train,AIRM,1,F,23,1.915916246581929,1.9157765844710775,0.0005351423089199336,0.00014578614353849594
0train,AIRM,1,F,24,2.4947647618745417,2.494603695474531,0.0008036196157519271,0.00012911934873140223
0train,AIRM,1,F,34,0.7779903486015894,0.7772233063839955,0.0011929145307525424,0.0019708833018196145
0train,AIRM,2,F,12,0.36602893925782004,0.3659256328494637,7.561559792440553e-05,0.0005643916035226373
0train,AIRM,2,F,13,0.9518648891869954,0.9518159931583606,9.308243493466595e-05,0.0001027346912957295
0train,AIRM,2,F,14,0.5037085709238873,0.5036443940064028,6.464880810813645e-05,0.0002548014182644928
0train,AIRM,2,F,23,0.9155113507543514,0.9154381254965271,0.00013407174746171702,0.00015995941367525076
0train,AIRM,2,F,24,0.6186314071855484,0.6185829217215181,5.99869108420803e-05,0.00015674459277102378
0train,AIRM,2,F,34,0.9648163492824072,0.9647475674699829,0.00013271890338273362,0.00014257503149854635
0train,AIRM,3,F,12,1.3148357357369844,1.3145080169946683,0.0008616852277618658,0.0004984316929760426
0train,AIRM,3,F,13,1.4164270378169588,1.4161687447703024,0.0007316397946306452,0.00036467744430404716
0train,AIRM,3,F,14,2.0462350188609095,2.046031811681445,0.0008315780002510209,0.00019860581757094034
0train,AIRM,3,F,23,1.4687377311182417,1.4685175292643813,0.0006467890535972742,0.0002998293598817807
0train,AIRM,3,F,24,1.9543417865917259,1.954038309121281,0.0011861053049844195,0.0003105433348158622
0train,AIRM,3,F,34,1.051577385935392,1.0511149840133112,0.000972288993408954,0.00087925104527474
0train,AIRM,4,F,12,0.5303810255907417,0.5302650731030383,0.00012298455371650974,0.0004371944216655518
0train,AIRM,4,F,13,0.6858308015963896,0.6857726642033198,7.974144982708653e-05,0.00016953140279375291
0train,AIRM,4,F,14,0.7828900186793348,0.7828513139670599,6.0601567777096577e-05,9.887405537149942e-05
0train,AIRM,4,F,23,0.6053492321963583,0.6053128921889426,4.3995470578095386e-05,0.00012005934660806729
0train,AIRM,4,F,24,0.6168965626945686,0.6168145255293898,0.00010121016032760277,0.0002659496432242511
0train,AIRM,4,F,34,0.42836892151187317,0.428265173856385,8.887377900568261e-05,0.000484325948204912
0train,AIRM,5,F,12,0.3744362003396354,0.37439757700516835,2.8922457442626115e-05,0.00020629064401979304
0train,AIRM,5,F,13,0.45432758712088483,0.4543063148025978,1.9328749568114922e-05,9.364089211694705e-05
0train,AIRM,5,F,14,0.6129485055048268,0.6129203255268024,3.454495671928459e-05,9.194681116494303e-05
0train,AIRM,5,F,23,0.4082283961457277,0.4082105296317058,1.4586917515463371e-05,8.753003572469696e-05
0train,AIRM,5,F,24,0.5013551843905215,0.5013253745871863,2.988971027118037e-05,0.00011891336936738213
0train,AIRM,5,F,34,0.41860750892980264,0.41856700718829315,3.390702585012728e-05,0.00019349763825492642
0train,AIRM,6,F,12,0.5749319911513576,0.574772088997341,0.00018384015889749694,0.0005561698433766368
0train,AIRM,6,F,13,0.9646557526038694,0.9646032345075287,0.00010132100935111854,0.00010888167430791752
0train,AIRM,6,F,14,0.8421669681108579,0.8420762498739824,0.0001527915752049802,0.0002154284226893394
