protocol,target_subject,condition,class_label,recall
T2,1,STATIC,left_hand,0.75
T2,1,STATIC,right_hand,0.6944444444444444
T2,1,STATIC,feet,0.4027777777777778
T2,1,STATIC,tongue,0.625
T2,1,MOV_LEN,left_hand,0.5416666666666666
T2,1,MOV_LEN,right_hand,0.2222222222222222
T2,1,MOV_LEN,feet,0.06944444444444445
T2,1,MOV_LEN,tongue,0.3333333333333333
T2,1,MOV_GRAM,left_hand,0.4722222222222222
T2,1,MOV_GRAM,right_hand,0.16666666666666666
T2,1,MOV_GRAM,feet,0.18055555555555555
T2,1,MOV_GRAM,tongue,0.2222222222222222
T2,1,MOV_SENSOR,left_hand,0.4027777777777778
T2,1,MOV_SENSOR,right_hand,0.18055555555555555
T2,1,MOV_SENSOR,feet,0.3472222222222222
T2,1,MOV_SENSOR,tongue,0.4027777777777778
T2,1,STATIC_PLUS_LEN,left_hand,0.7777777777777778
T2,1,STATIC_PLUS_LEN,right_hand,0.6666666666666666
T2,1,STATIC_PLUS_LEN,feet,0.3888888888888889
T2,1,STATIC_PLUS_LEN,tongue,0.7083333333333334
T2,1,STATIC_PLUS_GRAM,left_hand,0.7361111111111112
T2,1,STATIC_PLUS_GRAM,right_hand,0.6944444444444444
T2,1,STATIC_PLUS_GRAM,feet,0.3888888888888889
T2,1,STATIC_PLUS_GRAM,tongue,0.6805555555555556
T2,1,STATIC_PLUS_SENSOR,left_hand,0.625
T2,1,STATIC_PLUS_SENSOR,right_hand,0.5416666666666666
T2,1,STATIC_PLUS_SENSOR,feet,0.4444444444444444
T2,1,STATIC_PLUS_SENSOR,tongue,0.6666666666666666
T2,2,STATIC,left_hand,0.3611111111111111
T2,2,STATIC,right_hand,0.2916666666666667
T2,2,STATIC,feet,0.2777777777777778
T2,2,STATIC,tongue,0.4027777777777778
T2,2,MOV_LEN,left_hand,0.3333333333333333
T2,2,MOV_LEN,right_hand,0.06944444444444445
T2,2,MOV_LEN,feet,0.18055555555555555
T2,2,MOV_LEN,tongue,0.4305555555555556
T2,2,MOV_GRAM,left_hand,0.3472222222222222
T2,2,MOV_GRAM,right_hand,0.16666666666666666
T2,2,MOV_GRAM,feet,0.125
T2,2,MOV_GRAM,tongue,0.375
T2,2,MOV_SENSOR,left_hand,0.19444444444444445
T2,2,MOV_SENSOR,right_hand,0.2222222222222222
T2,2,MOV_SENSOR,feet,0.3472222222222222
