comparison,target_subject,augmented_condition,baseline_condition,augmented_ba,baseline_ba,delta
DELTA_LEN,1,STATIC_PLUS_LEN,STATIC,0.6354166666666667,0.6180555555555556,0.01736111111111116
DELTA_LEN,2,STATIC_PLUS_LEN,STATIC,0.3298611111111111,0.33333333333333337,-0.0034722222222222654
DELTA_LEN,3,STATIC_PLUS_LEN,STATIC,0.6493055555555556,0.6458333333333334,0.00347222222222221
DELTA_LEN,4,STATIC_PLUS_LEN,STATIC,0.4652777777777778,0.4756944444444444,-0.01041666666666663
DELTA_LEN,5,STATIC_PLUS_LEN,STATIC,0.35416666666666663,0.34375,0.01041666666666663
DELTA_LEN,6,STATIC_PLUS_LEN,STATIC,0.34374999999999994,0.3402777777777778,0.0034722222222221544
DELTA_LEN,7,STATIC_PLUS_LEN,STATIC,0.4548611111111111,0.4513888888888889,0.00347222222222221
DELTA_LEN,8,STATIC_PLUS_LEN,STATIC,0.704861111111111,0.6944444444444444,0.01041666666666663
DELTA_LEN,9,STATIC_PLUS_LEN,STATIC,0.5625,0.5763888888888888,-0.01388888888888884
DELTA_GRAM,1,STATIC_PLUS_GRAM,STATIC,0.625,0.6180555555555556,0.00694444444444442
DELTA_GRAM,2,STATIC_PLUS_GRAM,STATIC,0.3298611111111111,0.33333333333333337,-0.0034722222222222654
DELTA_GRAM,3,STATIC_PLUS_GRAM,STATIC,0.6631944444444444,0.6458333333333334,0.01736111111111105
DELTA_GRAM,4,STATIC_PLUS_GRAM,STATIC,0.4722222222222222,0.4756944444444444,-0.00347222222222221
DELTA_GRAM,5,STATIC_PLUS_GRAM,STATIC,0.35763888888888884,0.34375,0.01388888888888884
DELTA_GRAM,6,STATIC_PLUS_GRAM,STATIC,0.3402777777777778,0.3402777777777778,0.0
DELTA_GRAM,7,STATIC_PLUS_GRAM,STATIC,0.4444444444444444,0.4513888888888889,-0.006944444444444475
DELTA_GRAM,8,STATIC_PLUS_GRAM,STATIC,0.7222222222222222,0.6944444444444444,0.02777777777777779
DELTA_GRAM,9,STATIC_PLUS_GRAM,STATIC,0.5486111111111112,0.5763888888888888,-0.02777777777777768
DELTA_SENSOR,1,STATIC_PLUS_SENSOR,STATIC,0.5694444444444444,0.6180555555555556,-0.04861111111111116
DELTA_SENSOR,2,STATIC_PLUS_SENSOR,STATIC,0.3194444444444445,0.33333333333333337,-0.013888888888888895
DELTA_SENSOR,3,STATIC_PLUS_SENSOR,STATIC,0.5798611111111112,0.6458333333333334,-0.06597222222222221
DELTA_SENSOR,4,STATIC_PLUS_SENSOR,STATIC,0.37847222222222227,0.4756944444444444,-0.09722222222222215
DELTA_SENSOR,5,STATIC_PLUS_SENSOR,STATIC,0.3368055555555556,0.34375,-0.00694444444444442
DELTA_SENSOR,6,STATIC_PLUS_SENSOR,STATIC,0.3194444444444444,0.3402777777777778,-0.02083333333333337
DELTA_SENSOR,7,STATIC_PLUS_SENSOR,STATIC,0.4479166666666667,0.4513888888888889,-0.00347222222222221
DELTA_SENSOR,8,STATIC_PLUS_SENSOR,STATIC,0.6527777777777777,0.6944444444444444,-0.04166666666666674
DELTA_SENSOR,9,STATIC_PLUS_SENSOR,STATIC,0.5381944444444444,0.5763888888888888,-0.03819444444444442
