protocol,target_subject,condition,true_class,predicted_class,count
T2,1,STATIC_PLUS_SENSOR,feet,right_hand,10
T2,1,STATIC_PLUS_SENSOR,feet,feet,32
T2,1,STATIC_PLUS_SENSOR,feet,tongue,25
T2,1,STATIC_PLUS_SENSOR,tongue,left_hand,2
T2,1,STATIC_PLUS_SENSOR,tongue,right_hand,4
T2,1,STATIC_PLUS_SENSOR,tongue,feet,18
T2,1,STATIC_PLUS_SENSOR,tongue,tongue,48
T2,2,STATIC,left_hand,left_hand,26
T2,2,STATIC,left_hand,right_hand,20
T2,2,STATIC,left_hand,feet,18
T2,2,STATIC,left_hand,tongue,8
T2,2,STATIC,right_hand,left_hand,18
T2,2,STATIC,right_hand,right_hand,21
T2,2,STATIC,right_hand,feet,26
T2,2,STATIC,right_hand,tongue,7
T2,2,STATIC,feet,left_hand,6
T2,2,STATIC,feet,right_hand,17
T2,2,STATIC,feet,feet,20
T2,2,STATIC,feet,tongue,29
T2,2,STATIC,tongue,left_hand,24
T2,2,STATIC,tongue,right_hand,10
T2,2,STATIC,tongue,feet,9
T2,2,STATIC,tongue,tongue,29
T2,2,MOV_LEN,left_hand,left_hand,24
T2,2,MOV_LEN,left_hand,right_hand,10
T2,2,MOV_LEN,left_hand,feet,21
T2,2,MOV_LEN,left_hand,tongue,17
T2,2,MOV_LEN,right_hand,left_hand,21
T2,2,MOV_LEN,right_hand,right_hand,5
T2,2,MOV_LEN,right_hand,feet,19
T2,2,MOV_LEN,right_hand,tongue,27
T2,2,MOV_LEN,feet,left_hand,10
T2,2,MOV_LEN,feet,right_hand,11
T2,2,MOV_LEN,feet,feet,13
T2,2,MOV_LEN,feet,tongue,38
T2,2,MOV_LEN,tongue,left_hand,18
T2,2,MOV_LEN,tongue,right_hand,9
T2,2,MOV_LEN,tongue,feet,14
T2,2,MOV_LEN,tongue,tongue,31
T2,2,MOV_GRAM,left_hand,left_hand,25
T2,2,MOV_GRAM,left_hand,right_hand,15
T2,2,MOV_GRAM,left_hand,feet,17
T2,2,MOV_GRAM,left_hand,tongue,15
T2,2,MOV_GRAM,right_hand,left_hand,21
T2,2,MOV_GRAM,right_hand,right_hand,12
T2,2,MOV_GRAM,right_hand,feet,13
T2,2,MOV_GRAM,right_hand,tongue,26
T2,2,MOV_GRAM,feet,left_hand,21
T2,2,MOV_GRAM,feet,right_hand,7
T2,2,MOV_GRAM,feet,feet,9
T2,2,MOV_GRAM,feet,tongue,35
T2,2,MOV_GRAM,tongue,left_hand,23
T2,2,MOV_GRAM,tongue,right_hand,6
T2,2,MOV_GRAM,tongue,feet,16
T2,2,MOV_GRAM,tongue,tongue,27
T2,2,MOV_SENSOR,left_hand,left_hand,14
T2,2,MOV_SENSOR,left_hand,right_hand,20
T2,2,MOV_SENSOR,left_hand,feet,10
T2,2,MOV_SENSOR,left_hand,tongue,28
T2,2,MOV_SENSOR,right_hand,left_hand,8
T2,2,MOV_SENSOR,right_hand,right_hand,16
T2,2,MOV_SENSOR,right_hand,feet,18
T2,2,MOV_SENSOR,right_hand,tongue,30
T2,2,MOV_SENSOR,feet,left_hand,9
T2,2,MOV_SENSOR,feet,right_hand,14
T2,2,MOV_SENSOR,feet,feet,25
T2,2,MOV_SENSOR,feet,tongue,24
T2,2,MOV_SENSOR,tongue,left_hand,13
T2,2,MOV_SENSOR,tongue,right_hand,13
T2,2,MOV_SENSOR,tongue,feet,18
T2,2,MOV_SENSOR,tongue,tongue,28
T2,2,STATIC_PLUS_LEN,left_hand,left_hand,27
T2,2,STATIC_PLUS_LEN,left_hand,right_hand,18
T2,2,STATIC_PLUS_LEN,left_hand,feet,18
T2,2,STATIC_PLUS_LEN,left_hand,tongue,9
T2,2,STATIC_PLUS_LEN,right_hand,left_hand,17
T2,2,STATIC_PLUS_LEN,right_hand,right_hand,21
T2,2,STATIC_PLUS_LEN,right_hand,feet,25
T2,2,STATIC_PLUS_LEN,right_hand,tongue,9
T2,2,STATIC_PLUS_LEN,feet,left_hand,8
T2,2,STATIC_PLUS_LEN,feet,right_hand,13
T2,2,STATIC_PLUS_LEN,feet,feet,19
T2,2,STATIC_PLUS_LEN,feet,tongue,32
T2,2,STATIC_PLUS_LEN,tongue,left_hand,24
T2,2,STATIC_PLUS_LEN,tongue,right_hand,8
T2,2,STATIC_PLUS_LEN,tongue,feet,12
T2,2,STATIC_PLUS_LEN,tongue,tongue,28
T2,2,STATIC_PLUS_GRAM,left_hand,left_hand,26
T2,2,STATIC_PLUS_GRAM,left_hand,right_hand,20
T2,2,STATIC_PLUS_GRAM,left_hand,feet,17
T2,2,STATIC_PLUS_GRAM,left_hand,tongue,9
T2,2,STATIC_PLUS_GRAM,right_hand,left_hand,13
T2,2,STATIC_PLUS_GRAM,right_hand,right_hand,23
T2,2,STATIC_PLUS_GRAM,right_hand,feet,28
T2,2,STATIC_PLUS_GRAM,right_hand,tongue,8
T2,2,STATIC_PLUS_GRAM,feet,left_hand,9
T2,2,STATIC_PLUS_GRAM,feet,right_hand,13
T2,2,STATIC_PLUS_GRAM,feet,feet,20
T2,2,STATIC_PLUS_GRAM,feet,tongue,30
T2,2,STATIC_PLUS_GRAM,tongue,left_hand,25
T2,2,STATIC_PLUS_GRAM,tongue,right_hand,9
T2,2,STATIC_PLUS_GRAM,tongue,feet,12
T2,2,STATIC_PLUS_GRAM,tongue,tongue,26
T2,2,STATIC_PLUS_SENSOR,left_hand,left_hand,22
T2,2,STATIC_PLUS_SENSOR,left_hand,right_hand,21
T2,2,STATIC_PLUS_SENSOR,left_hand,feet,18
T2,2,STATIC_PLUS_SENSOR,left_hand,tongue,11
T2,2,STATIC_PLUS_SENSOR,right_hand,left_hand,6
T2,2,STATIC_PLUS_SENSOR,right_hand,right_hand,22
T2,2,STATIC_PLUS_SENSOR,right_hand,feet,25
T2,2,STATIC_PLUS_SENSOR,right_hand,tongue,19
T2,2,STATIC_PLUS_SENSOR,feet,left_hand,4
T2,2,STATIC_PLUS_SENSOR,feet,right_hand,18
T2,2,STATIC_PLUS_SENSOR,feet,feet,22
T2,2,STATIC_PLUS_SENSOR,feet,tongue,28
T2,2,STATIC_PLUS_SENSOR,tongue,left_hand,18
T2,2,STATIC_PLUS_SENSOR,tongue,right_hand,14
T2,2,STATIC_PLUS_SENSOR,tongue,feet,14
T2,2,STATIC_PLUS_SENSOR,tongue,tongue,26
T2,3,STATIC,left_hand,left_hand,42
T2,3,STATIC,left_hand,right_hand,4
T2,3,STATIC,left_hand,feet,6
T2,3,STATIC,left_hand,tongue,20
T2,3,STATIC,right_hand,left_hand,6
T2,3,STATIC,right_hand,right_hand,51
T2,3,STATIC,right_hand,feet,0
T2,3,STATIC,right_hand,tongue,15
T2,3,STATIC,feet,left_hand,9
T2,3,STATIC,feet,right_hand,7
T2,3,STATIC,feet,feet,49
T2,3,STATIC,feet,tongue,7
T2,3,STATIC,tongue,left_hand,3
T2,3,STATIC,tongue,right_hand,5
T2,3,STATIC,tongue,feet,20
T2,3,STATIC,tongue,tongue,44
T2,3,MOV_LEN,left_hand,left_hand,45
T2,3,MOV_LEN,left_hand,right_hand,7
T2,3,MOV_LEN,left_hand,feet,11
T2,3,MOV_LEN,left_hand,tongue,9
T2,3,MOV_LEN,right_hand,left_hand,47
T2,3,MOV_LEN,right_hand,right_hand,4
T2,3,MOV_LEN,right_hand,feet,13
T2,3,MOV_LEN,right_hand,tongue,8
T2,3,MOV_LEN,feet,left_hand,46
T2,3,MOV_LEN,feet,right_hand,5
T2,3,MOV_LEN,feet,feet,10
T2,3,MOV_LEN,feet,tongue,11
T2,3,MOV_LEN,tongue,left_hand,40
T2,3,MOV_LEN,tongue,right_hand,6
T2,3,MOV_LEN,tongue,feet,8
T2,3,MOV_LEN,tongue,tongue,18
T2,3,MOV_GRAM,left_hand,left_hand,26
T2,3,MOV_GRAM,left_hand,right_hand,28
T2,3,MOV_GRAM,left_hand,feet,11
T2,3,MOV_GRAM,left_hand,tongue,7
T2,3,MOV_GRAM,right_hand,left_hand,28
T2,3,MOV_GRAM,right_hand,right_hand,22
T2,3,MOV_GRAM,right_hand,feet,15
T2,3,MOV_GRAM,right_hand,tongue,7
T2,3,MOV_GRAM,feet,left_hand,33
T2,3,MOV_GRAM,feet,right_hand,21
T2,3,MOV_GRAM,feet,feet,7
T2,3,MOV_GRAM,feet,tongue,11
T2,3,MOV_GRAM,tongue,left_hand,20
T2,3,MOV_GRAM,tongue,right_hand,20
T2,3,MOV_GRAM,tongue,feet,16
T2,3,MOV_GRAM,tongue,tongue,16
T2,3,MOV_SENSOR,left_hand,left_hand,21
T2,3,MOV_SENSOR,left_hand,right_hand,14
T2,3,MOV_SENSOR,left_hand,feet,22
T2,3,MOV_SENSOR,left_hand,tongue,15
T2,3,MOV_SENSOR,right_hand,left_hand,22
T2,3,MOV_SENSOR,right_hand,right_hand,17
T2,3,MOV_SENSOR,right_hand,feet,21
T2,3,MOV_SENSOR,right_hand,tongue,12
T2,3,MOV_SENSOR,feet,left_hand,21
T2,3,MOV_SENSOR,feet,right_hand,11
T2,3,MOV_SENSOR,feet,feet,25
T2,3,MOV_SENSOR,feet,tongue,15
T2,3,MOV_SENSOR,tongue,left_hand,15
T2,3,MOV_SENSOR,tongue,right_hand,16
T2,3,MOV_SENSOR,tongue,feet,22
T2,3,MOV_SENSOR,tongue,tongue,19
T2,3,STATIC_PLUS_LEN,left_hand,left_hand,43
T2,3,STATIC_PLUS_LEN,left_hand,right_hand,3
T2,3,STATIC_PLUS_LEN,left_hand,feet,5
T2,3,STATIC_PLUS_LEN,left_hand,tongue,21
T2,3,STATIC_PLUS_LEN,right_hand,left_hand,8
T2,3,STATIC_PLUS_LEN,right_hand,right_hand,50
T2,3,STATIC_PLUS_LEN,right_hand,feet,0
T2,3,STATIC_PLUS_LEN,right_hand,tongue,14
T2,3,STATIC_PLUS_LEN,feet,left_hand,11
T2,3,STATIC_PLUS_LEN,feet,right_hand,7
T2,3,STATIC_PLUS_LEN,feet,feet,46
T2,3,STATIC_PLUS_LEN,feet,tongue,8
T2,3,STATIC_PLUS_LEN,tongue,left_hand,3
T2,3,STATIC_PLUS_LEN,tongue,right_hand,5
T2,3,STATIC_PLUS_LEN,tongue,feet,16
T2,3,STATIC_PLUS_LEN,tongue,tongue,48
T2,3,STATIC_PLUS_GRAM,left_hand,left_hand,43
T2,3,STATIC_PLUS_GRAM,left_hand,right_hand,4
T2,3,STATIC_PLUS_GRAM,left_hand,feet,5
T2,3,STATIC_PLUS_GRAM,left_hand,tongue,20
T2,3,STATIC_PLUS_GRAM,right_hand,left_hand,6
T2,3,STATIC_PLUS_GRAM,right_hand,right_hand,55
T2,3,STATIC_PLUS_GRAM,right_hand,feet,0
T2,3,STATIC_PLUS_GRAM,right_hand,tongue,11
T2,3,STATIC_PLUS_GRAM,feet,left_hand,11
