protocol,split,target_subject,condition,balanced_accuracy,accuracy,macro_f1,evaluation_n,confusion_matrix_json,recall_left_hand,recall_right_hand,recall_feet,recall_tongue
T2,SUBJECT_AVERAGE,1,STATIC,0.6180555555555556,0.6180555555555556,0.6130012489789698,288,"[[54,12,6,0],[16,50,4,2],[4,19,29,20],[3,4,20,45]]",0.75,0.6944444444444444,0.4027777777777778,0.625
T2,SUBJECT_AVERAGE,1,MOV_LEN,0.29166666666666663,0.2916666666666667,0.26823390408253567,288,"[[39,23,1,9],[47,16,2,7],[33,19,5,15],[25,21,2,24]]",0.5416666666666666,0.2222222222222222,0.06944444444444445,0.3333333333333333
T2,SUBJECT_AVERAGE,1,MOV_GRAM,0.26041666666666663,0.2604166666666667,0.2521763694980769,288,"[[34,19,12,7],[44,12,9,7],[36,12,13,11],[30,21,5,16]]",0.4722222222222222,0.16666666666666666,0.18055555555555555,0.2222222222222222
T2,SUBJECT_AVERAGE,1,MOV_SENSOR,0.33333333333333337,0.3333333333333333,0.33011036799959964,288,"[[29,15,18,10],[19,13,23,17],[10,13,25,24],[9,15,19,29]]",0.4027777777777778,0.18055555555555555,0.3472222222222222,0.4027777777777778
T2,SUBJECT_AVERAGE,1,STATIC_PLUS_LEN,0.6354166666666667,0.6354166666666666,0.6273057862616436,288,"[[56,11,5,0],[17,48,4,3],[4,18,28,22],[3,3,15,51]]",0.7777777777777778,0.6666666666666666,0.3888888888888889,0.7083333333333334
T2,SUBJECT_AVERAGE,1,STATIC_PLUS_GRAM,0.625,0.625,0.6188388385623803,288,"[[53,10,6,3],[15,50,5,2],[4,19,28,21],[2,4,17,49]]",0.7361111111111112,0.6944444444444444,0.3888888888888889,0.6805555555555556
T2,SUBJECT_AVERAGE,1,STATIC_PLUS_SENSOR,0.5694444444444444,0.5694444444444444,0.5695893121266256,288,"[[45,9,15,3],[23,39,10,0],[5,10,32,25],[2,4,18,48]]",0.625,0.5416666666666666,0.4444444444444444,0.6666666666666666
T2,SUBJECT_AVERAGE,2,STATIC,0.33333333333333337,0.3333333333333333,0.33300661313179025,288,"[[26,20,18,8],[18,21,26,7],[6,17,20,29],[24,10,9,29]]",0.3611111111111111,0.2916666666666667,0.2777777777777778,0.4027777777777778
T2,SUBJECT_AVERAGE,2,MOV_LEN,0.2534722222222222,0.2534722222222222,0.23666948038280491,288,"[[24,10,21,17],[21,5,19,27],[10,11,13,38],[18,9,14,31]]",0.3333333333333333,0.06944444444444445,0.18055555555555555,0.4305555555555556
T2,SUBJECT_AVERAGE,2,MOV_GRAM,0.2534722222222222,0.2534722222222222,0.2433078504075879,288,"[[25,15,17,15],[21,12,13,26],[21,7,9,35],[23,6,16,27]]",0.3472222222222222,0.16666666666666666,0.125,0.375
T2,SUBJECT_AVERAGE,2,MOV_SENSOR,0.2881944444444444,0.2881944444444444,0.2839397511811305,288,"[[14,20,10,28],[8,16,18,30],[9,14,25,24],[13,13,18,28]]",0.19444444444444445,0.2222222222222222,0.3472222222222222,0.3888888888888889
T2,SUBJECT_AVERAGE,2,STATIC_PLUS_LEN,0.3298611111111111,0.3298611111111111,0.329163497245689,288,"[[27,18,18,9],[17,21,25,9],[8,13,19,32],[24,8,12,28]]",0.375,0.2916666666666667,0.2638888888888889,0.3888888888888889
T2,SUBJECT_AVERAGE,2,STATIC_PLUS_GRAM,0.3298611111111111,0.3298611111111111,0.3303660446267338,288,"[[26,20,17,9],[13,23,28,8],[9,13,20,30],[25,9,12,26]]",0.3611111111111111,0.3194444444444444,0.2777777777777778,0.3611111111111111
T2,SUBJECT_AVERAGE,2,STATIC_PLUS_SENSOR,0.3194444444444445,0.3194444444444444,0.32117488185155724,288,"[[22,21,18,11],[6,22,25,19],[4,18,22,28],[18,14,14,26]]",0.3055555555555556,0.3055555555555556,0.3055555555555556,0.3611111111111111
T2,SUBJECT_AVERAGE,3,STATIC,0.6458333333333334,0.6458333333333334,0.6484513194967616,288,"[[42,4,6,20],[6,51,0,15],[9,7,49,7],[3,5,20,44]]",0.5833333333333334,0.7083333333333334,0.6805555555555556,0.6111111111111112
T2,SUBJECT_AVERAGE,3,MOV_LEN,0.2673611111111111,0.2673611111111111,0.23140743130816582,288,"[[45,7,11,9],[47,4,13,8],[46,5,10,11],[40,6,8,18]]",0.625,0.05555555555555555,0.1388888888888889,0.25
T2,SUBJECT_AVERAGE,3,MOV_GRAM,0.24652777777777776,0.2465277777777778,0.23983244091241135,288,"[[26,28,11,7],[28,22,15,7],[33,21,7,11],[20,20,16,16]]",0.3611111111111111,0.3055555555555556,0.09722222222222222,0.2222222222222222
