comparison,mean_delta,median_delta,positive_subjects,bootstrap_95_low,bootstrap_95_high,loo_mean_min,loo_mean_max,every_loo_mean_positive,top_contributor_share,n_subjects,n_patterns,observed_mean,p_raw_one_sided,null_min,null_max
DELTA_LEN,0.0023148148148148064,0.00347222222222221,6,-0.0038580246913580358,0.00810185185185186,0.00043402777777776236,0.004340277777777762,True,0.2272727272727284,9,512,0.0023148148148148064,0.28515625,-0.008487654320987637,0.008487654320987637
DELTA_GRAM,0.0027006172839506076,0.0,4,-0.007330246913580246,0.01234567901234566,-0.0004340277777777901,0.0065104166666666435,False,0.25806451612903275,9,512,0.0027006172839506076,0.3359375,-0.011959876543209859,0.011959876543209859
DELTA_SENSOR,-0.03742283950617284,-0.03819444444444442,0,-0.05709876543209876,-0.020061728395061713,-0.04166666666666667,-0.029947916666666678,False,0.28865979381443274,9,512,-0.03742283950617284,1.0,-0.03742283950617284,0.03742283950617284
