row_type,protocol,split,target_subject,condition,balanced_accuracy,accuracy,macro_f1,evaluation_n,confusion_matrix_json,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,n_subjects,mean,median,minimum,maximum,q25,q75,above_chance_subjects,leave_one_subject_out_mean_min,leave_one_subject_out_mean_max,leave_one_subject_out_means_json,largest_subject_contribution_share
subject,T1,ALL,1.0,STATIC,0.6458333333333333,0.6458333333333334,0.6373739555647385,288.0,"[[55,12,5,0],[14,54,1,3],[4,17,28,23],[2,4,17,49]]",0.7638888888888888,0.75,0.3888888888888889,0.6805555555555556,,,,,,,,,,,,
subject,T1,ALL,1.0,MOV_LEN,0.29166666666666663,0.2916666666666667,0.26823390408253567,288.0,"[[39,23,1,9],[47,16,2,7],[33,19,5,15],[25,21,2,24]]",0.5416666666666666,0.2222222222222222,0.06944444444444445,0.3333333333333333,,,,,,,,,,,,
subject,T1,ALL,1.0,MOV_GRAM,0.26041666666666663,0.2604166666666667,0.2521763694980769,288.0,"[[34,19,12,7],[44,12,9,7],[36,12,13,11],[30,21,5,16]]",0.4722222222222222,0.16666666666666666,0.18055555555555555,0.2222222222222222,,,,,,,,,,,,
subject,T1,ALL,1.0,MOV_SENSOR,0.33333333333333337,0.3333333333333333,0.33011036799959964,288.0,"[[29,15,18,10],[19,13,23,17],[10,13,25,24],[9,15,19,29]]",0.4027777777777778,0.18055555555555555,0.3472222222222222,0.4027777777777778,,,,,,,,,,,,
subject,T1,ALL,1.0,STATIC_PLUS_LEN,0.6527777777777778,0.6527777777777778,0.6462616195592624,288.0,"[[55,13,4,0],[14,53,2,3],[4,16,30,22],[1,3,18,50]]",0.7638888888888888,0.7361111111111112,0.4166666666666667,0.6944444444444444,,,,,,,,,,,,
subject,T1,ALL,1.0,STATIC_PLUS_GRAM,0.642361111111111,0.6423611111111112,0.6374842722321257,288.0,"[[54,12,4,2],[14,52,4,2],[4,16,31,21],[1,5,18,48]]",0.75,0.7222222222222222,0.4305555555555556,0.6666666666666666,,,,,,,,,,,,
subject,T1,ALL,1.0,STATIC_PLUS_SENSOR,0.5555555555555556,0.5555555555555556,0.5562180730541082,288.0,"[[45,8,17,2],[24,38,10,0],[6,12,30,24],[2,4,19,47]]",0.625,0.5277777777777778,0.4166666666666667,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,2.0,STATIC,0.3506944444444444,0.3506944444444444,0.35048246974613506,288.0,"[[29,21,16,6],[18,21,26,7],[6,17,22,27],[24,10,9,29]]",0.4027777777777778,0.2916666666666667,0.3055555555555556,0.4027777777777778,,,,,,,,,,,,
subject,T1,ALL,2.0,MOV_LEN,0.2534722222222222,0.2534722222222222,0.23666948038280491,288.0,"[[24,10,21,17],[21,5,19,27],[10,11,13,38],[18,9,14,31]]",0.3333333333333333,0.06944444444444445,0.18055555555555555,0.4305555555555556,,,,,,,,,,,,
subject,T1,ALL,2.0,MOV_GRAM,0.2534722222222222,0.2534722222222222,0.2433078504075879,288.0,"[[25,15,17,15],[21,12,13,26],[21,7,9,35],[23,6,16,27]]",0.3472222222222222,0.16666666666666666,0.125,0.375,,,,,,,,,,,,
subject,T1,ALL,2.0,MOV_SENSOR,0.2881944444444444,0.2881944444444444,0.2839397511811305,288.0,"[[14,20,10,28],[8,16,18,30],[9,14,25,24],[13,13,18,28]]",0.19444444444444445,0.2222222222222222,0.3472222222222222,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,2.0,STATIC_PLUS_LEN,0.32986111111111116,0.3298611111111111,0.3293392090932299,288.0,"[[29,17,18,8],[17,21,26,8],[8,16,19,29],[25,9,12,26]]",0.4027777777777778,0.2916666666666667,0.2638888888888889,0.3611111111111111,,,,,,,,,,,,
subject,T1,ALL,2.0,STATIC_PLUS_GRAM,0.3298611111111111,0.3298611111111111,0.3296196574467713,288.0,"[[28,19,17,8],[15,20,28,9],[7,14,21,30],[24,10,12,26]]",0.3888888888888889,0.2777777777777778,0.2916666666666667,0.3611111111111111,,,,,,,,,,,,
subject,T1,ALL,2.0,STATIC_PLUS_SENSOR,0.3333333333333333,0.3333333333333333,0.3348553487073411,288.0,"[[22,23,18,9],[6,23,25,18],[4,17,23,28],[16,13,15,28]]",0.3055555555555556,0.3194444444444444,0.3194444444444444,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,3.0,STATIC,0.673611111111111,0.6736111111111112,0.6744230974534167,288.0,"[[45,5,7,15],[6,55,1,10],[10,7,47,8],[3,4,18,47]]",0.625,0.7638888888888888,0.6527777777777778,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,3.0,MOV_LEN,0.2673611111111111,0.2673611111111111,0.23140743130816582,288.0,"[[45,7,11,9],[47,4,13,8],[46,5,10,11],[40,6,8,18]]",0.625,0.05555555555555555,0.1388888888888889,0.25,,,,,,,,,,,,
