row_type,protocol,split,target_subject,condition,balanced_accuracy,accuracy,macro_f1,evaluation_n,confusion_matrix_json,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,n_subjects,mean,median,minimum,maximum,q25,q75,above_chance_subjects,leave_one_subject_out_mean_min,leave_one_subject_out_mean_max,leave_one_subject_out_means_json,largest_subject_contribution_share
subject,T1,ALL,3.0,MOV_GRAM,0.24652777777777776,0.2465277777777778,0.23983244091241135,288.0,"[[26,28,11,7],[28,22,15,7],[33,21,7,11],[20,20,16,16]]",0.3611111111111111,0.3055555555555556,0.09722222222222222,0.2222222222222222,,,,,,,,,,,,
subject,T1,ALL,3.0,MOV_SENSOR,0.2847222222222222,0.2847222222222222,0.2835101044814069,288.0,"[[21,14,22,15],[22,17,21,12],[21,11,25,15],[15,16,22,19]]",0.2916666666666667,0.2361111111111111,0.3472222222222222,0.2638888888888889,,,,,,,,,,,,
subject,T1,ALL,3.0,STATIC_PLUS_LEN,0.673611111111111,0.6736111111111112,0.6745455406796805,288.0,"[[45,4,8,15],[7,54,1,10],[10,7,48,7],[4,4,17,47]]",0.625,0.75,0.6666666666666666,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,3.0,STATIC_PLUS_GRAM,0.6631944444444444,0.6631944444444444,0.6642655256874427,288.0,"[[45,4,7,16],[6,54,0,12],[11,7,47,7],[3,6,18,45]]",0.625,0.75,0.6527777777777778,0.625,,,,,,,,,,,,
subject,T1,ALL,3.0,STATIC_PLUS_SENSOR,0.579861111111111,0.5798611111111112,0.5789051226551226,288.0,"[[46,7,9,10],[12,40,10,10],[9,12,46,5],[5,9,23,35]]",0.6388888888888888,0.5555555555555556,0.6388888888888888,0.4861111111111111,,,,,,,,,,,,
subject,T1,ALL,4.0,STATIC,0.4930555555555555,0.4930555555555556,0.49265873015873013,288.0,"[[38,9,12,13],[13,34,12,13],[15,9,38,10],[6,16,18,32]]",0.5277777777777778,0.4722222222222222,0.5277777777777778,0.4444444444444444,,,,,,,,,,,,
subject,T1,ALL,4.0,MOV_LEN,0.2604166666666667,0.2604166666666667,0.2338364310376106,288.0,"[[36,25,0,11],[41,15,6,10],[41,15,3,13],[37,13,1,21]]",0.5,0.20833333333333334,0.041666666666666664,0.2916666666666667,,,,,,,,,,,,
subject,T1,ALL,4.0,MOV_GRAM,0.2743055555555556,0.2743055555555556,0.26168222933600954,288.0,"[[26,35,4,7],[27,29,4,12],[26,27,8,11],[29,26,1,16]]",0.3611111111111111,0.4027777777777778,0.1111111111111111,0.2222222222222222,,,,,,,,,,,,
subject,T1,ALL,4.0,MOV_SENSOR,0.2638888888888889,0.2638888888888889,0.2629106221528263,288.0,"[[15,17,28,12],[13,16,26,17],[18,13,22,19],[13,15,21,23]]",0.20833333333333334,0.2222222222222222,0.3055555555555556,0.3194444444444444,,,,,,,,,,,,
subject,T1,ALL,4.0,STATIC_PLUS_LEN,0.48263888888888884,0.4826388888888889,0.48218603163250784,288.0,"[[38,8,13,13],[13,32,12,15],[16,8,37,11],[9,14,17,32]]",0.5277777777777778,0.4444444444444444,0.5138888888888888,0.4444444444444444,,,,,,,,,,,,
subject,T1,ALL,4.0,STATIC_PLUS_GRAM,0.4618055555555555,0.4618055555555556,0.4618952476095333,288.0,"[[35,9,15,13],[13,30,14,15],[16,7,35,14],[7,14,18,33]]",0.4861111111111111,0.4166666666666667,0.4861111111111111,0.4583333333333333,,,,,,,,,,,,
subject,T1,ALL,4.0,STATIC_PLUS_SENSOR,0.3680555555555556,0.3680555555555556,0.3687126869065058,288.0,"[[30,12,22,8],[17,26,16,13],[18,16,22,16],[13,15,16,28]]",0.4166666666666667,0.3611111111111111,0.3055555555555556,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,5.0,STATIC,0.3472222222222222,0.3472222222222222,0.34371475657369216,288.0,"[[14,28,14,16],[15,29,11,17],[10,22,32,8],[13,20,14,25]]",0.19444444444444445,0.4027777777777778,0.4444444444444444,0.3472222222222222,,,,,,,,,,,,
subject,T1,ALL,5.0,MOV_LEN,0.26388888888888884,0.2638888888888889,0.17937172295240097,288.0,"[[59,8,2,3],[58,13,0,1],[62,5,2,3],[49,18,3,2]]",0.8194444444444444,0.18055555555555555,0.027777777777777776,0.027777777777777776,,,,,,,,,,,,
subject,T1,ALL,5.0,MOV_GRAM,0.26041666666666663,0.2604166666666667,0.18641597277710026,288.0,"[[48,18,3,3],[41,25,5,1],[46,22,1,3],[45,21,5,1]]",0.6666666666666666,0.3472222222222222,0.013888888888888888,0.013888888888888888,,,,,,,,,,,,
subject,T1,ALL,5.0,MOV_SENSOR,0.28125,0.28125,0.2752779748394766,288.0,"[[24,23,14,11],[24,27,11,10],[27,18,18,9],[16,22,22,12]]",0.3333333333333333,0.375,0.25,0.16666666666666666,,,,,,,,,,,,
subject,T1,ALL,5.0,STATIC_PLUS_LEN,0.35763888888888884,0.3576388888888889,0.353916053224809,288.0,"[[14,28,15,15],[15,27,13,17],[10,20,34,8],[13,18,13,28]]",0.19444444444444445,0.375,0.4722222222222222,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,5.0,STATIC_PLUS_GRAM,0.3541666666666667,0.3541666666666667,0.3550292481455462,288.0,"[[19,26,12,15],[18,26,12,16],[12,20,29,11],[15,17,12,28]]",0.2638888888888889,0.3611111111111111,0.4027777777777778,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,5.0,STATIC_PLUS_SENSOR,0.32291666666666663,0.3229166666666667,0.32060341482395527,288.0,"[[18,24,19,11],[20,28,12,12],[16,18,28,10],[11,24,18,19]]",0.25,0.3888888888888889,0.3888888888888889,0.2638888888888889,,,,,,,,,,,,
subject,T1,ALL,6.0,STATIC,0.3506944444444444,0.3506944444444444,0.3503917788901722,288.0,"[[29,18,16,9],[18,22,14,18],[9,13,21,29],[11,12,20,29]]",0.4027777777777778,0.3055555555555556,0.2916666666666667,0.4027777777777778,,,,,,,,,,,,
subject,T1,ALL,6.0,MOV_LEN,0.2152777777777778,0.2152777777777778,0.19116790594479538,288.0,"[[3,11,23,35],[2,11,18,41],[3,13,19,37],[1,11,31,29]]",0.041666666666666664,0.1527777777777778,0.2638888888888889,0.4027777777777778,,,,,,,,,,,,
subject,T1,ALL,6.0,MOV_GRAM,0.2569444444444444,0.2569444444444444,0.24770978409260094,288.0,"[[20,12,15,25],[14,9,15,34],[10,14,14,34],[11,9,21,31]]",0.2777777777777778,0.125,0.19444444444444445,0.4305555555555556,,,,,,,,,,,,
subject,T1,ALL,6.0,MOV_SENSOR,0.2673611111111111,0.2673611111111111,0.2622243717195699,288.0,"[[16,26,14,16],[21,21,10,20],[14,21,12,25],[16,9,19,28]]",0.2222222222222222,0.2916666666666667,0.16666666666666666,0.3888888888888889,,,,,,,,,,,,
subject,T1,ALL,6.0,STATIC_PLUS_LEN,0.3472222222222222,0.3472222222222222,0.3482444438184462,288.0,"[[28,19,15,10],[17,27,13,15],[9,13,23,27],[12,13,25,22]]",0.3888888888888889,0.375,0.3194444444444444,0.3055555555555556,,,,,,,,,,,,
subject,T1,ALL,6.0,STATIC_PLUS_GRAM,0.34722222222222227,0.3472222222222222,0.3484673203938571,288.0,"[[30,20,12,10],[16,26,15,15],[9,13,23,27],[11,14,26,21]]",0.4166666666666667,0.3611111111111111,0.3194444444444444,0.2916666666666667,,,,,,,,,,,,
subject,T1,ALL,6.0,STATIC_PLUS_SENSOR,0.3333333333333333,0.3333333333333333,0.33476323406910885,288.0,"[[26,17,17,12],[11,24,18,19],[9,23,20,20],[14,13,19,26]]",0.3611111111111111,0.3333333333333333,0.2777777777777778,0.3611111111111111,,,,,,,,,,,,
subject,T1,ALL,7.0,STATIC,0.4722222222222222,0.4722222222222222,0.4668906810035842,288.0,"[[38,19,12,3],[21,22,15,14],[9,15,29,19],[4,4,17,47]]",0.5277777777777778,0.3055555555555556,0.4027777777777778,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,7.0,MOV_LEN,0.2777777777777778,0.2777777777777778,0.26840656188750495,288.0,"[[30,24,9,9],[26,18,10,18],[21,25,8,18],[17,23,8,24]]",0.4166666666666667,0.25,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,
subject,T1,ALL,7.0,MOV_GRAM,0.2534722222222222,0.2534722222222222,0.24830457665824096,288.0,"[[28,22,11,11],[27,18,13,14],[18,27,9,18],[13,28,13,18]]",0.3888888888888889,0.25,0.125,0.25,,,,,,,,,,,,
subject,T1,ALL,7.0,MOV_SENSOR,0.3125,0.3125,0.30963226258515353,288.0,"[[25,15,12,20],[23,16,18,15],[19,19,19,15],[12,14,16,30]]",0.3472222222222222,0.2222222222222222,0.2638888888888889,0.4166666666666667,,,,,,,,,,,,
subject,T1,ALL,7.0,STATIC_PLUS_LEN,0.46875,0.46875,0.4634917619637824,288.0,"[[38,18,13,3],[22,22,16,12],[9,15,28,20],[4,4,17,47]]",0.5277777777777778,0.3055555555555556,0.3888888888888889,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,7.0,STATIC_PLUS_GRAM,0.4479166666666667,0.4479166666666667,0.44053255259110013,288.0,"[[38,16,14,4],[24,19,14,15],[7,17,27,21],[6,4,17,45]]",0.5277777777777778,0.2638888888888889,0.375,0.625,,,,,,,,,,,,
subject,T1,ALL,7.0,STATIC_PLUS_SENSOR,0.4652777777777778,0.4652777777777778,0.4647308342140776,288.0,"[[37,17,13,5],[21,26,13,12],[17,14,30,11],[5,8,18,41]]",0.5138888888888888,0.3611111111111111,0.4166666666666667,0.5694444444444444,,,,,,,,,,,,
subject,T1,ALL,8.0,STATIC,0.6944444444444444,0.6944444444444444,0.6909498565190443,288.0,"[[55,4,12,1],[5,46,12,9],[17,14,37,4],[1,5,4,62]]",0.7638888888888888,0.6388888888888888,0.5138888888888888,0.8611111111111112,,,,,,,,,,,,
subject,T1,ALL,8.0,MOV_LEN,0.27083333333333337,0.2708333333333333,0.25623319997167093,288.0,"[[32,12,6,22],[34,15,4,19],[29,18,8,17],[29,6,14,23]]",0.4444444444444444,0.20833333333333334,0.1111111111111111,0.3194444444444444,,,,,,,,,,,,
subject,T1,ALL,8.0,MOV_GRAM,0.2777777777777778,0.2777777777777778,0.25694013874543553,288.0,"[[40,10,10,12],[37,17,12,6],[25,27,6,14],[23,19,13,17]]",0.5555555555555556,0.2361111111111111,0.08333333333333333,0.2361111111111111,,,,,,,,,,,,
subject,T1,ALL,8.0,MOV_SENSOR,0.3680555555555556,0.3680555555555556,0.363155353209697,288.0,"[[36,10,18,8],[27,26,10,9],[18,27,13,14],[10,15,16,31]]",0.5,0.3611111111111111,0.18055555555555555,0.4305555555555556,,,,,,,,,,,,
subject,T1,ALL,8.0,STATIC_PLUS_LEN,0.7083333333333333,0.7083333333333334,0.7052377386220655,288.0,"[[55,5,10,2],[5,48,11,8],[16,13,39,4],[1,5,4,62]]",0.7638888888888888,0.6666666666666666,0.5416666666666666,0.8611111111111112,,,,,,,,,,,,
subject,T1,ALL,8.0,STATIC_PLUS_GRAM,0.7222222222222223,0.7222222222222222,0.7204379206345426,288.0,"[[56,3,11,2],[6,49,9,8],[14,13,42,3],[1,5,5,61]]",0.7777777777777778,0.6805555555555556,0.5833333333333334,0.8472222222222222,,,,,,,,,,,,
subject,T1,ALL,8.0,STATIC_PLUS_SENSOR,0.6458333333333333,0.6458333333333334,0.6358977307743912,288.0,"[[56,3,8,5],[8,42,11,11],[14,20,29,9],[3,6,4,59]]",0.7777777777777778,0.5833333333333334,0.4027777777777778,0.8194444444444444,,,,,,,,,,,,
subject,T1,ALL,9.0,STATIC,0.5798611111111112,0.5798611111111112,0.5769370651863537,288.0,"[[43,16,7,6],[11,43,8,10],[20,6,31,15],[3,3,16,50]]",0.5972222222222222,0.5972222222222222,0.4305555555555556,0.6944444444444444,,,,,,,,,,,,
subject,T1,ALL,9.0,MOV_LEN,0.2604166666666667,0.2604166666666667,0.12130624390744446,288.0,"[[0,0,1,71],[0,1,0,71],[0,0,2,70],[0,0,0,72]]",0.0,0.013888888888888888,0.027777777777777776,1.0,,,,,,,,,,,,
subject,T1,ALL,9.0,MOV_GRAM,0.2604166666666667,0.2604166666666667,0.12775559278178222,288.0,"[[1,1,4,66],[1,0,0,71],[0,1,3,68],[0,1,0,71]]",0.013888888888888888,0.0,0.041666666666666664,0.9861111111111112,,,,,,,,,,,,
subject,T1,ALL,9.0,MOV_SENSOR,0.39236111111111116,0.3923611111111111,0.39121569611566565,288.0,"[[35,25,8,4],[16,27,17,12],[21,12,26,13],[20,9,18,25]]",0.4861111111111111,0.375,0.3611111111111111,0.3472222222222222,,,,,,,,,,,,
subject,T1,ALL,9.0,STATIC_PLUS_LEN,0.5659722222222222,0.5659722222222222,0.562728693978694,288.0,"[[42,20,6,4],[11,45,7,9],[20,11,29,12],[3,6,16,47]]",0.5833333333333334,0.625,0.4027777777777778,0.6527777777777778,,,,,,,,,,,,
subject,T1,ALL,9.0,STATIC_PLUS_GRAM,0.5486111111111112,0.5486111111111112,0.5461254022551058,288.0,"[[38,24,6,4],[11,44,7,10],[16,12,30,14],[3,6,17,46]]",0.5277777777777778,0.6111111111111112,0.4166666666666667,0.6388888888888888,,,,,,,,,,,,
subject,T1,ALL,9.0,STATIC_PLUS_SENSOR,0.5381944444444444,0.5381944444444444,0.5347994689499683,288.0,"[[41,19,10,2],[7,39,14,12],[19,10,26,17],[5,3,15,49]]",0.5694444444444444,0.5416666666666666,0.3611111111111111,0.6805555555555556,,,,,,,,,,,,
group,,,,STATIC,,,,,,,,,,9.0,0.5119598765432097,0.4930555555555555,0.3472222222222222,0.6944444444444444,0.3506944444444444,0.6458333333333333,9.0,0.4891493055555555,0.5325520833333333,"[0.4952256944444444, 0.5321180555555556, 0.4917534722222222, 0.5143229166666666, 0.5325520833333333, 0.5321180555555556, 0.5169270833333333, 0.4891493055555555, 0.5034722222222221]",0.1507159005275057
group,,,,MOV_LEN,,,,,,,,,,9.0,0.2623456790123456,0.26388888888888884,0.2152777777777778,0.29166666666666663,0.2604166666666667,0.27083333333333337,8.0,0.2586805555555556,0.26822916666666663,"[0.2586805555555556, 0.2634548611111111, 0.26171875, 0.2625868055555556, 0.2621527777777778, 0.26822916666666663, 0.26041666666666663, 0.2612847222222222, 0.2625868055555555]",0.12352941176470589
group,,,,MOV_GRAM,,,,,,,,,,9.0,0.2604166666666667,0.26041666666666663,0.24652777777777776,0.2777777777777778,0.2534722222222222,0.2604166666666667,8.0,0.2582465277777778,0.2621527777777778,"[0.2604166666666667, 0.2612847222222222, 0.2621527777777778, 0.2586805555555556, 0.2604166666666667, 0.2608506944444444, 0.2612847222222222, 0.2582465277777778, 0.2604166666666667]",0.11851851851851852
group,,,,MOV_SENSOR,,,,,,,,,,9.0,0.3101851851851852,0.2881944444444444,0.2638888888888889,0.39236111111111116,0.28125,0.33333333333333337,9.0,0.2999131944444444,0.3159722222222222,"[0.30729166666666663, 0.3129340277777778, 0.3133680555555556, 0.3159722222222222, 0.31380208333333337, 0.3155381944444444, 0.30989583333333337, 0.3029513888888889, 0.2999131944444444]",0.14054726368159207
group,,,,STATIC_PLUS_LEN,,,,,,,,,,9.0,0.5096450617283951,0.48263888888888884,0.32986111111111116,0.7083333333333333,0.35763888888888884,0.6527777777777778,9.0,0.4848090277777778,0.5321180555555556,"[0.4917534722222222, 0.5321180555555556, 0.4891493055555555, 0.5130208333333333, 0.5286458333333333, 0.5299479166666666, 0.5147569444444444, 0.4848090277777778, 0.5026041666666666]",0.15442846328538984
group,,,,STATIC_PLUS_GRAM,,,,,,,,,,9.0,0.5019290123456791,0.4618055555555555,0.3298611111111111,0.7222222222222223,0.3541666666666667,0.642361111111111,9.0,0.47439236111111116,0.5234375,"[0.484375, 0.5234375, 0.4817708333333333, 0.5069444444444444, 0.5203993055555556, 0.5212673611111112, 0.5086805555555556, 0.47439236111111116, 0.49609375000000006]",0.15987701767870868
group,,,,STATIC_PLUS_SENSOR,,,,,,,,,,9.0,0.4602623456790123,0.4652777777777778,0.32291666666666663,0.6458333333333333,0.3333333333333333,0.5555555555555556,9.0,0.4370659722222222,0.4774305555555555,"[0.4483506944444444, 0.4761284722222222, 0.4453125, 0.4717881944444444, 0.4774305555555555, 0.4761284722222222, 0.45963541666666663, 0.4370659722222222, 0.4505208333333333]",0.15590947191953058
