row_type,comparison,target_subject,augmented_condition,baseline_condition,delta,mean_delta,median_delta,positive_subjects,p_raw_one_sided
subject_delta,GRAM_OVER_LEN,1,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,-0.01041666666666674,,,,
subject_delta,GRAM_OVER_LEN,2,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,0.0,,,,
subject_delta,GRAM_OVER_LEN,3,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,0.01388888888888884,,,,
subject_delta,GRAM_OVER_LEN,4,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,0.00694444444444442,,,,
subject_delta,GRAM_OVER_LEN,5,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,0.00347222222222221,,,,
subject_delta,GRAM_OVER_LEN,6,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,-0.0034722222222221544,,,,
subject_delta,GRAM_OVER_LEN,7,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,-0.010416666666666685,,,,
subject_delta,GRAM_OVER_LEN,8,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,0.01736111111111116,,,,
subject_delta,GRAM_OVER_LEN,9,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,-0.01388888888888884,,,,
summary,GRAM_OVER_LEN,,STATIC_PLUS_GRAM,STATIC_PLUS_LEN,,0.0003858024691358011,0.0,4,0.5
subject_delta,SENSOR_OVER_GRAM,1,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.05555555555555558,,,,
subject_delta,SENSOR_OVER_GRAM,2,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.01041666666666663,,,,
subject_delta,SENSOR_OVER_GRAM,3,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.08333333333333326,,,,
subject_delta,SENSOR_OVER_GRAM,4,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.09374999999999994,,,,
subject_delta,SENSOR_OVER_GRAM,5,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.02083333333333326,,,,
subject_delta,SENSOR_OVER_GRAM,6,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.02083333333333337,,,,
subject_delta,SENSOR_OVER_GRAM,7,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,0.0034722222222222654,,,,
subject_delta,SENSOR_OVER_GRAM,8,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.06944444444444453,,,,
subject_delta,SENSOR_OVER_GRAM,9,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,-0.01041666666666674,,,,
summary,SENSOR_OVER_GRAM,,STATIC_PLUS_SENSOR,STATIC_PLUS_GRAM,,-0.04012345679012345,-0.02083333333333337,1,0.998046875
