comparison,holm_rank,p_raw,p_holm,reject_0_05
DELTA_LEN,1,0.28515625,0.85546875,False
DELTA_GRAM,2,0.3359375,0.85546875,False
DELTA_SENSOR,3,1.0,1.0,False
